Date,RelativeHumidity
2014-12-01 04:00:00,74.0215444946289
2014-12-01 06:00:00,70.42028163909912
2014-12-01 07:00:00,73.28433349609374
2014-12-01 09:00:00,72.59515655517576
2014-12-01 10:00:00,63.3667614364624
2014-12-01 11:00:00,63.90620880126953
2014-12-01 12:00:00,65.76732528686523
2014-12-01 13:00:00,61.492095146179196
2014-12-01 14:00:00,54.47921165466308
2014-12-01 15:00:00,52.830263938903805
2014-12-01 16:00:00,60.66631923675537
2014-12-01 17:00:00,67.34692764282227
2014-12-01 18:00:00,64.84746715545654
2014-12-01 19:00:00,67.07481369018554
2014-12-01 20:00:00,69.86824989318848
2014-12-01 21:00:00,68.55518066406249
2014-12-01 23:00:00,70.32997219085694
2014-12-02 07:00:00,70.40394989013672
2014-12-02 08:00:00,73.21203258514403
2014-12-02 09:00:00,70.65723384857178
2014-12-02 10:00:00,70.72336112976073
2014-12-02 11:00:00,66.4818911743164
2014-12-02 12:00:00,64.20554939270019
2014-12-02 13:00:00,58.323475437164305
2014-12-02 14:00:00,66.13721378326416
2014-12-02 15:00:00,56.57708345413208
2014-12-02 16:00:00,56.48427364349365
2014-12-02 17:00:00,60.75567596435547
2014-12-02 18:00:00,68.5348983001709
2014-12-03 08:00:00,66.4507096862793
2014-12-03 09:00:00,73.77296062469482
2014-12-03 10:00:00,75.86306034088133
2014-12-03 11:00:00,73.89277477264403
2014-12-03 12:00:00,71.06013305664061
2014-12-03 13:00:00,71.3639154434204
2014-12-03 14:00:00,65.46424156188965
2014-12-03 15:00:00,69.54115337371826
2014-12-03 16:00:00,69.9796800994873
2014-12-03 17:00:00,71.14369300842284
2014-12-04 08:00:00,71.06018386840819
2014-12-04 09:00:00,66.88664924621581
2014-12-04 10:00:00,61.78198898315429
2014-12-04 11:00:00,61.673471984863276
2014-12-04 12:00:00,64.11348693847656
2014-12-04 13:00:00,62.917191619873044
2014-12-04 14:00:00,59.54039398193359
2014-12-04 15:00:00,55.092101078033444
2014-12-04 16:00:00,58.00248903274536
2014-12-04 17:00:00,61.38804534912109
2014-12-04 18:00:00,65.72401672363281
2014-12-04 19:00:00,71.30146778106688
2014-12-05 08:00:00,74.96364124298094
2014-12-05 09:00:00,74.02992420196531
2014-12-05 10:00:00,71.42257762908935
2014-12-05 11:00:00,67.68828956604004
2014-12-05 13:00:00,62.57744720458984
2014-12-06 08:00:00,73.04124153137205
2014-12-06 10:00:00,75.14434059143065
2014-12-06 11:00:00,66.75362403869629
2014-12-06 12:00:00,59.998216476440426
2014-12-06 13:00:00,69.15501358032226
2014-12-06 14:00:00,69.60871185302734
2014-12-06 15:00:00,64.62912475585937
2014-12-07 10:00:00,71.54262042999267
2014-12-07 12:00:00,65.48849571228027
2014-12-07 13:00:00,67.32837711334228
2014-12-07 14:00:00,66.13115871429443
2014-12-07 15:00:00,52.255532035827635
2014-12-08 08:00:00,52.88636436462402
2014-12-08 09:00:00,72.82309814453124
2014-12-08 10:00:00,72.1467681121826
2014-12-08 11:00:00,69.66804306030274
2014-12-08 12:00:00,63.1107844543457
2014-12-08 13:00:00,60.16707668304443
2014-12-08 14:00:00,62.311523818969725
2014-12-08 15:00:00,57.31077785491943
2014-12-08 16:00:00,61.08996658325195
2014-12-08 17:00:00,62.33072643280029
2014-12-08 18:00:00,60.098527374267576
2014-12-08 19:00:00,67.71528331756592
2014-12-08 21:00:00,71.6051612472534
2014-12-08 22:00:00,67.71528331756592
2014-12-09 01:00:00,69.65295196533202
2014-12-09 07:00:00,74.0837889099121
2014-12-09 08:00:00,75.42258583068846
2014-12-09 09:00:00,65.45495147705078
2014-12-09 10:00:00,60.87764961242675
2014-12-09 11:00:00,59.293135452270505
2014-12-09 12:00:00,54.83263078689575
2014-12-09 13:00:00,56.86953269958496
2014-12-09 14:00:00,61.68037815093994
2014-12-09 15:00:00,68.09308151245116
2014-12-09 16:00:00,68.94783283233642
2014-12-09 17:00:00,71.63225662231444
2014-12-09 18:00:00,71.13160404205321
2014-12-09 19:00:00,76.00897480010985
2014-12-09 20:00:00,70.56340991973876
2014-12-09 21:00:00,69.68595844268798
2014-12-09 22:00:00,66.93613143920898
2014-12-09 23:00:00,74.1861534500122
2014-12-10 00:00:00,77.17255157470701
2014-12-10 01:00:00,78.46345417022704
2014-12-10 07:00:00,71.7326987838745
2014-12-10 08:00:00,72.7363709259033
2014-12-10 09:00:00,67.98550029754638
2014-12-10 10:00:00,57.66294998168945
2014-12-10 11:00:00,58.29305824279785
2014-12-10 12:00:00,53.72513961791992
2014-12-10 13:00:00,55.80412849426269
2014-12-10 14:00:00,59.18078216552734
2014-12-10 15:00:00,51.723583641052244
2014-12-10 16:00:00,53.72729911804199
2014-12-10 18:00:00,61.94937141418457
2014-12-10 19:00:00,76.11933372497558
2014-12-10 21:00:00,69.38111324310302
2014-12-10 22:00:00,72.85256050109862
2014-12-10 23:00:00,71.33188709259032
2014-12-11 00:00:00,75.04349193572996
2014-12-11 01:00:00,73.23472427368162
2014-12-11 03:00:00,76.75832981109617
2014-12-11 09:00:00,71.12099708557128
2014-12-11 10:00:00,81.53171852111815
2014-12-11 11:00:00,79.35874057769774
2014-12-12 09:00:00,70.23539878845214
2014-12-12 10:00:00,71.50125118255615
2014-12-12 11:00:00,68.41566848754883
2014-12-12 12:00:00,69.393642578125
2014-12-12 13:00:00,67.1187319946289
2014-12-12 14:00:00,63.10314151763916
2014-12-12 16:00:00,59.47451652526855
2014-12-12 17:00:00,68.00665069580077
2014-12-12 18:00:00,68.88863712310791
