Date,Visibility
2015-12-01 01:00:00,7.227840900421143
2015-12-01 02:00:00,5.9800883531570435
2015-12-01 03:00:00,6.200151085853577
2015-12-01 04:00:00,5.414633870124817
2015-12-01 05:00:00,5.495735287666321
2015-12-01 07:00:00,6.18345034122467
2015-12-01 08:00:00,5.938684642314911
2015-12-01 10:00:00,6.494060456752777
2015-12-01 13:00:00,8.36141049861908
2015-12-01 14:00:00,10.237611830234528
2015-12-01 15:00:00,10.194660127162933
2015-12-01 16:00:00,9.900706827640533
2015-12-01 17:00:00,9.385390639305115
2015-12-01 18:00:00,9.520361006259918
2015-12-01 19:00:00,8.647432386875153
2015-12-01 20:00:00,7.862726211547852
2015-12-01 21:00:00,7.946012914180756
2015-12-01 22:00:00,6.594565212726593
2015-12-01 23:00:00,5.536942303180695
2015-12-02 01:00:00,7.016780257225037
2015-12-02 02:00:00,5.702093601226807
2015-12-02 07:00:00,5.818763434886932
2015-12-02 09:00:00,5.80741149187088
2015-12-02 10:00:00,10.015245795249939
2015-12-02 11:00:00,9.98550808429718
2015-12-02 12:00:00,10.142149031162262
2015-12-02 13:00:00,10.378732860088348
2015-12-02 14:00:00,10.126248180866241
2015-12-02 15:00:00,10.029512763023376
2015-12-02 16:00:00,9.684581279754639
2015-12-02 17:00:00,9.400151312351227
2015-12-02 18:00:00,9.118830442428589
2015-12-02 19:00:00,8.961170613765717
2015-12-02 20:00:00,8.031952381134033
2015-12-02 21:00:00,7.847884893417358
2015-12-02 22:00:00,7.666123986244202
2015-12-02 23:00:00,6.998647570610046
2015-12-03 00:00:00,7.292527437210083
2015-12-03 01:00:00,6.64591646194458
2015-12-03 02:00:00,6.158694267272949
2015-12-03 06:00:00,6.463704466819763
2015-12-03 07:00:00,5.7022693157196045
2015-12-03 08:00:00,5.744419157505035
2015-12-03 09:00:00,7.503996551036835
2015-12-03 10:00:00,9.47072035074234
2015-12-03 11:00:00,9.898398280143738
2015-12-03 12:00:00,10.31046974658966
2015-12-03 13:00:00,10.06617283821106
2015-12-03 14:00:00,9.748997688293457
2015-12-03 15:00:00,9.80837082862854
2015-12-03 16:00:00,9.810973763465881
2015-12-03 17:00:00,9.470612823963165
2015-12-03 18:00:00,8.22564285993576
2015-12-03 19:00:00,7.532003343105316
2015-12-03 20:00:00,7.329014420509338
2015-12-03 21:00:00,7.562272787094116
2015-12-03 22:00:00,7.562272787094116
2015-12-03 23:00:00,5.951922237873077
2015-12-04 07:00:00,5.890735566616058
2015-12-04 08:00:00,5.587229430675507
2015-12-04 10:00:00,6.742625653743744
2015-12-04 11:00:00,7.4641454219818115
2015-12-04 12:00:00,9.021346271038055
2015-12-04 13:00:00,9.238756895065308
2015-12-04 14:00:00,10.071146607398987
2015-12-04 15:00:00,10.096734046936035
2015-12-04 16:00:00,9.88562947511673
2015-12-04 17:00:00,8.878248453140259
2015-12-04 18:00:00,6.648803293704987
2015-12-04 21:00:00,6.0882498025894165
2015-12-04 22:00:00,6.3428168296813965
2015-12-04 23:00:00,7.216585338115692
2015-12-05 00:00:00,6.7718775272369385
2015-12-05 01:00:00,6.257039964199066
2015-12-05 02:00:00,6.062008023262024
2015-12-05 03:00:00,6.229975342750549
2015-12-05 06:00:00,5.7105633020401
2015-12-05 09:00:00,6.470273435115814
2015-12-05 10:00:00,9.4223752617836
2015-12-05 11:00:00,9.454776883125305
2015-12-05 12:00:00,9.737365126609802
2015-12-05 13:00:00,9.713491559028625
2015-12-05 14:00:00,9.70675015449524
2015-12-05 15:00:00,9.832697451114655
2015-12-05 16:00:00,8.620031416416168
2015-12-05 17:00:00,7.62081915140152
2015-12-05 19:00:00,7.916611552238464
2015-12-06 07:00:00,7.263712227344513
2015-12-06 08:00:00,5.79320353269577
2015-12-06 09:00:00,5.975462079048157
2015-12-06 10:00:00,6.742498457431793
2015-12-06 11:00:00,7.858711004257202
2015-12-06 12:00:00,9.304938316345215
2015-12-06 13:00:00,9.128771424293518
2015-12-06 14:00:00,6.994438946247101
2015-12-07 09:00:00,7.384475290775299
2015-12-07 10:00:00,8.018021762371063
2015-12-07 11:00:00,8.421712696552277
2015-12-07 12:00:00,9.614762961864471
2015-12-07 13:00:00,9.651799380779266
2015-12-07 14:00:00,9.781755983829498
2015-12-07 15:00:00,8.526324450969696
2015-12-07 16:00:00,8.394434332847595
2015-12-07 17:00:00,8.795005679130554
2015-12-07 18:00:00,8.881920754909515
2015-12-07 19:00:00,8.080801010131836
2015-12-07 21:00:00,7.525404214859009
2015-12-07 22:00:00,7.276113212108612
2015-12-07 23:00:00,7.164913475513458
2015-12-08 00:00:00,7.208718836307526
2015-12-08 01:00:00,6.807051241397858
2015-12-08 07:00:00,6.590306103229523
2015-12-08 08:00:00,5.7083576917648315
2015-12-08 09:00:00,9.199445366859436
2015-12-08 10:00:00,9.466532051563263
2015-12-08 11:00:00,9.605631053447723
2015-12-08 12:00:00,9.888118982315063
2015-12-08 13:00:00,9.94942170381546
2015-12-08 14:00:00,10.08922815322876
2015-12-08 15:00:00,9.922888815402985
2015-12-08 16:00:00,8.665112018585205
2015-12-08 17:00:00,8.921955466270447
2015-12-08 18:00:00,8.792480111122131
2015-12-08 19:00:00,7.916275203227997
2015-12-08 20:00:00,6.667072355747223
2015-12-09 07:00:00,6.56966096162796
2015-12-09 08:00:00,5.649877548217773
2015-12-09 09:00:00,6.146979093551636
2015-12-09 10:00:00,7.611983597278595
2015-12-09 11:00:00,9.61075496673584
2015-12-09 12:00:00,9.686680018901825
2015-12-09 13:00:00,9.984244644641876
