Date,Conditions
2012-12-01 10:00:00,Partially cloudy
2012-12-01 11:00:00,Partially cloudy
2012-12-01 13:00:00,Partially cloudy
2012-12-01 14:00:00,Partially cloudy
2012-12-01 15:00:00,Partially cloudy
2012-12-01 16:00:00,Partially cloudy
2012-12-01 17:00:00,Partially cloudy
2012-12-01 18:00:00,Partially cloudy
2012-12-01 19:00:00,Partially cloudy
2012-12-01 20:00:00,Partially cloudy
2012-12-01 21:00:00,Partially cloudy
2012-12-01 22:00:00,Overcast
2012-12-01 23:00:00,Partially cloudy
2012-12-02 00:00:00,Partially cloudy
2012-12-02 01:00:00,Partially cloudy
2012-12-02 06:00:00,Partially cloudy
2012-12-02 07:00:00,"Rain, Partially cloudy"
2012-12-02 09:00:00,Partially cloudy
2012-12-02 10:00:00,Partially cloudy
2012-12-02 12:00:00,Partially cloudy
2012-12-02 13:00:00,Partially cloudy
2012-12-02 14:00:00,Partially cloudy
2012-12-02 15:00:00,Partially cloudy
2012-12-02 16:00:00,Partially cloudy
2012-12-02 18:00:00,Partially cloudy
2012-12-03 07:00:00,Partially cloudy
2012-12-03 09:00:00,Partially cloudy
2012-12-03 10:00:00,Partially cloudy
2012-12-03 11:00:00,Partially cloudy
2012-12-03 13:00:00,Partially cloudy
2012-12-03 15:00:00,Partially cloudy
2012-12-03 16:00:00,Partially cloudy
2012-12-03 17:00:00,Partially cloudy
2012-12-03 20:00:00,Partially cloudy
2012-12-03 21:00:00,Partially cloudy
2012-12-04 07:00:00,Partially cloudy
2012-12-04 08:00:00,Partially cloudy
2012-12-04 09:00:00,Partially cloudy
2012-12-04 10:00:00,Partially cloudy
2012-12-04 11:00:00,Partially cloudy
2012-12-04 13:00:00,Partially cloudy
2012-12-04 14:00:00,Partially cloudy
2012-12-04 16:00:00,Partially cloudy
2012-12-05 09:00:00,Partially cloudy
2012-12-05 10:00:00,Partially cloudy
2012-12-05 12:00:00,Partially cloudy
2012-12-05 13:00:00,Partially cloudy
2012-12-05 14:00:00,Partially cloudy
2012-12-05 15:00:00,Partially cloudy
2012-12-05 16:00:00,Partially cloudy
2012-12-05 17:00:00,Partially cloudy
2012-12-06 10:00:00,Overcast
2012-12-06 11:00:00,Partially cloudy
2012-12-06 12:00:00,Partially cloudy
2012-12-06 13:00:00,Partially cloudy
2012-12-06 14:00:00,Partially cloudy
2012-12-06 15:00:00,Partially cloudy
2012-12-06 16:00:00,Partially cloudy
2012-12-06 18:00:00,Partially cloudy
2012-12-06 19:00:00,Partially cloudy
2012-12-06 20:00:00,Partially cloudy
2012-12-06 22:00:00,Partially cloudy
2012-12-07 07:00:00,Partially cloudy
2012-12-07 08:00:00,Partially cloudy
2012-12-07 09:00:00,Partially cloudy
2012-12-07 10:00:00,Partially cloudy
2012-12-07 11:00:00,Partially cloudy
2012-12-07 12:00:00,Partially cloudy
2012-12-07 13:00:00,Partially cloudy
