Temperature,Relative_Humidity,Heat_Index,Precipitation,Wind_Speed,Cloud_Cover,Condition
27.4,83.11,35.2,15,36.4,48.3,"Rain, Partially cloudy"
28.9,76.47,39.3,13,18.4,43.9,"Rain, Partially cloudy"
28.4,76.77,37.1,31,18.4,48.9,"Rain, Partially cloudy"
26.5,84.69,39.3,39.28,11.2,55.4,"Rain, Partially cloudy"
28,77.59,37.3,0,11.2,49.4,Partially cloudy
27.6,82.37,36.3,4.5,18.4,60,"Rain, Partially cloudy"
27.7,81.64,35.2,1,18.4,58,"Rain, Partially cloudy"
27.8,82.34,36.7,2.83,22.3,57.5,"Rain, Partially cloudy"
28,81.3,37.1,5.7,18.4,50,"Rain, Partially cloudy"
28.5,78.93,37,64,22.3,46.7,"Rain, Partially cloudy"
26.8,83.8,36.7,24.4,11.2,56.3,"Rain, Partially cloudy"
26.9,85.77,37.9,16,18.4,43.8,"Rain, Partially cloudy"
28,80.72,36.7,0,18.4,49.4,Partially cloudy
27.2,82.9,36.3,0.7,14.8,53.1,"Rain, Partially cloudy"
26.9,84.03,36.7,0.1,14.8,47.6,"Rain, Partially cloudy"
27.2,82.7,37.9,21,18.4,55.7,"Rain, Partially cloudy"
27.8,79.22,37.1,1.8,25.9,54,"Rain, Partially cloudy"
28.1,77.24,38.4,0,18.4,53.3,Partially cloudy
28,79.4,39.8,7,27.7,50,"Rain, Partially cloudy"
28.2,77.08,37.2,0,18.4,48.3,Partially cloudy
27.5,79.97,36.7,0,18.4,47.3,Partially cloudy
26.8,83.45,34.3,43.81,14.8,61.8,"Rain, Partially cloudy"
28.7,79.22,37.9,0,18.4,43,Partially cloudy
26.3,88.03,32.1,8,29.5,55.3,"Rain, Partially cloudy"
27.7,81.19,36.7,2,33.5,53.5,"Rain, Partially cloudy"
26.1,87.59,35.6,6.8,11.2,54.7,"Rain, Partially cloudy"
28.5,76.25,36.9,0,14.8,44.4,Partially cloudy
28.6,77.96,38,0,18.4,47.1,Partially cloudy
29.1,71.52,36.9,0,18.4,38.3,Partially cloudy
28,76.62,38,36.6,16.6,45.6,"Rain, Partially cloudy"
27.2,80.12,34.3,0.3,18.4,55.9,"Rain, Partially cloudy"
25.7,85.69,30.2,0,24.1,53.3,Partially cloudy
26.9,81.51,35,13.73,18.4,47.5,"Rain, Partially cloudy"
27.3,81.18,35.2,17.7,18.4,53.4,"Rain, Partially cloudy"
28.6,73.14,35.9,17,14.8,45.4,"Rain, Partially cloudy"
28.3,74.5,37.5,0.6,24.1,58.8,"Rain, Partially cloudy"
28.3,71,35.9,0.7,37.1,42,"Rain, Partially cloudy"
28.2,73.88,38,0,18.4,46.2,Partially cloudy
28.8,71.84,36.9,0,18.4,32.2,Partially cloudy
28.2,72.88,38,0,18.4,24.6,Clear
28.5,72.26,38,0.7,36.6,35.5,"Rain, Partially cloudy"
29.2,71.33,36.9,0.7,18.4,39.4,"Rain, Partially cloudy"
27.9,80.62,36,7.1,25.9,44.1,"Rain, Partially cloudy"
28.2,77.89,36.9,3,18.4,56,"Rain, Partially cloudy"
29.1,80.02,44.3,9.73,27.7,48.2,"Rain, Partially cloudy"
28.7,77.93,37.9,5.7,24.1,43.6,"Rain, Partially cloudy"
28.9,76.86,40.3,0.7,20.5,45.3,"Rain, Partially cloudy"
28.7,75.72,38,12,24,43.5,"Rain, Partially cloudy"
27.7,82.01,37.9,60,18.4,56.7,"Rain, Partially cloudy"
25.8,88.91,35.3,6.3,12.8,50.7,"Rain, Partially cloudy"
27.9,81.75,36.7,0,25.9,43.3,Partially cloudy
27.7,82.42,36.7,8.7,36.7,60,"Rain, Partially cloudy"
28.3,79.89,40,0.7,14.8,47.6,"Rain, Partially cloudy"
29.3,74.5,38.4,1.7,14.8,48.6,"Rain, Partially cloudy"
28.9,74.14,39.2,0.7,20.5,50.5,"Rain, Partially cloudy"
29.2,75.96,39.3,0,24.1,57.1,Partially cloudy
28.7,72.79,36.7,1.4,24.1,26.4,"Rain, Partially cloudy"
27.6,80.95,36.3,1,24.1,40.6,"Rain, Partially cloudy"
28.9,76.6,38,0,29.5,37.5,Partially cloudy
29.4,70.04,36.9,1,25.9,44.9,"Rain, Partially cloudy"
29.3,64.92,35,0,27.7,30.6,Partially cloudy
26.1,77.76,32.7,0,16.6,41.5,Partially cloudy
29.2,69.19,34.7,0.7,33.5,44.7,"Rain, Partially cloudy"
26.7,81.72,36.7,1,24.1,62,"Rain, Partially cloudy"
27.6,83.02,35.3,33.7,16.6,58.6,"Rain, Partially cloudy"
28.5,77.87,36.7,0,22.3,56.9,Partially cloudy
28.4,76.75,35.6,0,31.3,38.1,Partially cloudy
27.9,76.36,34.7,0.1,24.1,41.8,"Rain, Partially cloudy"
28.1,69.87,35,0,18.4,37,Partially cloudy
27.4,70.31,34.3,0,22.3,17.6,Clear
27,74.12,34.3,0.7,14.8,43.1,"Rain, Partially cloudy"
27.2,74,34.2,0,18.4,26.5,Partially cloudy
27.3,74.49,36.3,12.1,18.3,33.3,"Rain, Partially cloudy"
26.2,79.68,37,0.7,16.6,47.7,"Rain, Partially cloudy"
26.8,70.62,32.8,0.7,14.8,50.1,"Rain, Partially cloudy"
28.4,65.46,33.8,0,31.3,25.5,Partially cloudy
27.4,69.36,32.6,0.7,24.1,35.9,"Rain, Partially cloudy"
27.3,76.64,32.9,0.3,37.1,58.7,"Rain, Partially cloudy"
28.8,68.87,36.7,3,37.1,32.5,"Rain, Partially cloudy"
26,81.11,30.2,2.9,27.7,60,"Rain, Partially cloudy"
28.1,72.18,35.6,3,18.2,51.8,"Rain, Partially cloudy"
28.5,69.8,34.7,0,18.4,38.7,Partially cloudy
27.4,75.1,34.7,0.7,27.4,45.6,"Rain, Partially cloudy"
28,72.04,34.7,0,31.3,21.4,Clear
27,68.69,31.9,0,24.1,36.2,Partially cloudy
27.7,63.74,33.8,0.7,22.3,34.3,"Rain, Partially cloudy"
27,66.71,33.1,0.7,27.4,17.9,Rain
25.1,73.61,33.1,0.7,18.4,25.2,"Rain, Partially cloudy"
26.7,69.07,33.8,0,20.5,24,Clear
27,70.94,34,0.7,16.6,40,"Rain, Partially cloudy"
27.4,66.97,33.8,0.7,22.3,25,Rain
25.6,78.41,33.5,0,25.9,25,Clear
27.9,69.99,32.6,0,18.4,40,Partially cloudy
28,67.44,33.8,0.7,18.4,27.2,"Rain, Partially cloudy"
28.1,70.19,33.8,0.7,14.8,20.7,Rain
28.2,70.86,34.8,0,14.8,20,Clear
28.8,64.5,33.8,0,25.9,15.6,Clear
27.9,70.75,34.7,0,18.4,23,Clear
29,67.56,35.6,0,18.4,14.4,Clear
27.6,68.53,35.2,0,18.4,13.8,Clear
27.5,63.38,31.5,0,24.1,11.9,Clear
27.4,65,31.9,0,18.4,5,Clear
28.1,68.91,34.2,0,25.9,28.8,Partially cloudy
28.7,66.25,34,0,37.1,26.5,Partially cloudy
27.8,67.38,32,0,33.5,20,Clear
26.9,66.34,31.4,0,37.1,22.7,Clear
27.8,66.73,33,0.7,37.1,39.3,"Rain, Partially cloudy"
27.8,69.57,33.4,4.7,37.1,28.5,"Rain, Partially cloudy"
28.7,65.38,33.8,0,27.7,20.6,Clear
27.9,69.52,34.7,0.7,33.5,37.7,"Rain, Partially cloudy"
28,69.47,34.7,7.9,18.4,55.9,"Rain, Partially cloudy"
25.9,70.81,31.5,0.7,36,40.6,"Rain, Partially cloudy"
27.6,57.74,30.5,0,25.9,13.5,Clear
27.3,61.71,30.9,0,27.7,7.6,Clear
27.2,67.63,32.6,0,24.1,16.3,Clear
27.4,70.9,34.7,0,22.3,22,Clear
28.7,66.88,33.9,0,18.4,22.5,Clear
27.1,71.91,34.7,0.7,27.7,41.7,"Rain, Partially cloudy"
28.3,70.73,34.7,0,33.5,43.3,Partially cloudy
28.2,72.47,34.1,3,31.3,40.6,"Rain, Partially cloudy"
28.4,68.86,33.8,0,27.7,19.4,Clear
27,72.78,35,0.7,18.4,30.4,"Rain, Partially cloudy"
27.7,70.24,33.8,0.7,33.5,36.3,"Rain, Partially cloudy"
27.1,68.69,33.9,0,29.5,32.4,Partially cloudy
27.9,69.24,34,0,29.5,27.1,Partially cloudy
27.6,65.56,32.6,0,27.7,2.7,Clear
27.9,64.58,31.9,0,31.3,16,Clear
27.2,70.5,34.1,0,22.3,27.6,Partially cloudy
27.9,72.16,36.5,0,27.7,23.2,Clear
27.5,67.32,33.1,0,27.7,25.7,Partially cloudy
27.7,69.02,33.7,0,24.1,17.6,Clear
27.9,67.28,36.9,0,27.7,17,Clear
27.1,66.43,32.5,0,25.9,16.9,Clear
27.9,60.78,32.5,0.7,35.3,30,"Rain, Partially cloudy"
28.2,69.85,43.5,0,27.7,21,Clear
27.8,61.9,31.9,0,27.7,4.6,Clear
28.2,63.67,31.9,0,22.3,32,Partially cloudy
27,68.74,35.6,0,18.4,30.5,Partially cloudy
27.6,64.13,33.1,0,22.3,32.8,Partially cloudy
26.2,68.68,33.8,0.7,27.5,32.4,"Rain, Partially cloudy"
26.9,66.16,33.1,0,18.4,49.3,Partially cloudy
25.5,67.04,32.5,0.7,18.4,31.5,"Rain, Partially cloudy"
27.2,62.88,32.5,0.7,29.5,17.9,Rain
26.8,57.56,30.5,0,20.5,30.6,Partially cloudy
27.2,68.07,32.4,0,27.7,34.7,Partially cloudy
26.9,71.8,34.1,0.7,27.7,42.9,"Rain, Partially cloudy"
28.6,69.2,34.8,0,22.3,37.7,Partially cloudy
28.4,66.57,35.6,12,25.9,22.6,Rain
28.8,69.77,35.6,0,27.7,26,Partially cloudy
29.3,64.15,35.9,0,25.9,24.4,Clear
28.1,69.89,34.4,0,20.5,19.3,Clear
28.2,64.32,34.3,0.7,22.3,35.4,"Rain, Partially cloudy"
29.4,64.52,35.2,0,27.7,25.7,Partially cloudy
29.1,64.9,33.8,0,27.7,26,Partially cloudy
29.3,68.44,35.6,0,27.7,31.8,Partially cloudy
29,66.33,35.8,0,29.3,33,Partially cloudy
28.3,66.84,34.7,0,18.4,5.4,Clear
28.4,69.36,36.2,0,27.7,1.1,Clear
29.3,62.66,34.3,0,27.7,7.7,Clear
28.6,66.62,35,0,35.3,11.5,Clear
29.5,58.66,34.7,0,27.7,21.9,Clear
