Temperature,Relative_Humidity,Heat_Index,Precipitation,Wind_Speed,Cloud_Cover,Condition
29.1,68.87,35.6,0,50,42.9,Partially cloudy
28.2,71.66,33.9,0,37.1,32.1,Partially cloudy
27.8,73.33,33.5,0,37.1,18.2,Clear
28.1,72.21,34.1,0,29.5,19.2,Clear
27.5,71.38,33.2,0,44.3,26.5,Partially cloudy
27.6,70.13,33.8,0,31.3,36.4,Partially cloudy
26.8,67.53,33.3,0,44.3,18.2,Clear
25.8,71.51,30.9,0,24.1,26.9,Partially cloudy
26.5,71.61,33.1,0,37.1,32.3,Partially cloudy
26.3,74.52,31.6,0,27.7,47.2,Partially cloudy
26.8,71.54,32.4,0,29.5,25.9,Partially cloudy
27.8,66.97,33.6,0,37.1,27.7,Partially cloudy
26.6,71.03,32.7,0,37.1,18.8,Clear
27.5,68.9,32.4,0,33.5,31.7,Partially cloudy
27.1,74.63,33.4,0,29.5,30,Partially cloudy
28,71.36,34.3,3.6,33.5,32.7,"Rain, Partially cloudy"
27.8,77.3,35.6,0,31.3,42.2,Partially cloudy
28.2,73.24,34.3,0,33.5,52.5,Partially cloudy
28.2,68.44,33.8,0,33.5,20.8,Clear
26.6,67.78,31.8,0,22.3,27.9,Partially cloudy
27.4,60.92,31.7,0,24.1,16.2,Clear
26,68.34,31.5,0,27.7,17.3,Clear
26.8,68.95,32.1,0,22.3,25.8,Partially cloudy
27.9,70.67,33.8,0,31.3,32.9,Partially cloudy
27.9,76.96,34.6,0,29.5,28.3,Partially cloudy
27.5,79.36,34.5,0,25.9,32.8,Partially cloudy
28.7,72.84,35.6,0,25.9,33.3,Partially cloudy
28.1,71.34,33.8,0,31.3,40.4,Partially cloudy
26.5,71.58,33.6,0,25.9,9.1,Clear
25.4,70.71,32.1,0,18.4,20,Clear
28.8,69.9,35.2,0,31.3,40.6,Partially cloudy
28.6,74.56,35.8,0,27.7,42.3,Partially cloudy
28,72.69,34.6,1,31.3,44.4,"Rain, Partially cloudy"
27.8,68.35,35.6,0,27.7,31.7,Partially cloudy
28.9,62.66,32.9,0,18.4,23.8,Clear
28.9,65.24,33.3,0.5,27.7,34.3,"Rain, Partially cloudy"
27.7,75.23,42.6,0,27.7,33.3,Partially cloudy
26.6,72.01,32.2,0,22.3,34.4,Partially cloudy
27.9,67.29,33.4,0,27.7,55,Partially cloudy
27.6,70.56,33.8,0,27.7,45.9,Partially cloudy
28.6,64.13,34.3,0,27.7,29.4,Partially cloudy
27.2,70.37,33.1,0,27.7,16.9,Clear
27.6,67.86,33.1,0,22.3,24.3,Clear
28,68.43,35.5,0,40.7,18.6,Clear
28,69.87,33.6,0,33.5,15,Clear
28.3,64.97,32.4,0,35.3,25.4,Partially cloudy
28.5,64.01,32.9,0,33.5,26.4,Partially cloudy
28.6,66.78,35,0,25.9,11.2,Clear
27.9,66.09,33.6,0,27.7,31.8,Partially cloudy
27.7,63.09,32.2,0,24.1,29.5,Partially cloudy
27.8,60.89,31.7,0,27.7,41.3,Partially cloudy
29.4,54.09,32.4,0,22.3,40,Partially cloudy
30,57.98,34.5,0,27.7,20,Clear
28.7,69.5,35.1,0,29.5,37.3,Partially cloudy
28.3,72.34,34.7,0,18.4,61.8,Partially cloudy
27.9,71.49,34.4,0,18.4,46,Partially cloudy
28.7,70.1,39.9,0,24.1,62.7,Partially cloudy
28.1,68.06,33.4,0,27.7,53.6,Partially cloudy
27.3,72.93,34,0,24.1,37,Partially cloudy
28.4,64.91,33.5,0,24.1,28.6,Partially cloudy
28.5,64.34,33.7,0,20.5,28,Partially cloudy
28,67.34,33.7,0,18.4,28.5,Partially cloudy
28.4,67.29,35.2,0,18.4,23.8,Clear
28.9,65.73,35.3,0,37.1,27.3,Partially cloudy
29,72.2,35.6,0,25.9,37.5,Partially cloudy
29.1,70.05,36.7,0,33.5,47.3,Partially cloudy
29.7,65.18,36.2,0,27.7,32.5,Partially cloudy
29.7,68.83,36.9,0,27.7,27.3,Partially cloudy
29.2,61.92,36.6,0,37.1,15.5,Clear
29.7,65.02,34.8,0,31.3,23.6,Clear
29.9,61.16,35.9,0,29.5,9.2,Clear
29.6,65.51,36.2,0,31.5,20.9,Clear
29.1,70.11,36.5,7.9,29.5,28.9,"Rain, Partially cloudy"
29.1,69.09,35.8,0,27.7,28.3,Partially cloudy
29.6,65.19,36.9,7,18.4,39.1,"Rain, Partially cloudy"
29.5,67.43,36.9,0,22.3,29.3,Partially cloudy
29.3,64.28,35.9,0,22.3,13.6,Clear
28.9,65.23,35.8,0,27.7,20.4,Clear
28.5,66.96,35,0,27.7,14.6,Clear
29.6,62.13,35.2,0,31.3,30.7,Partially cloudy
30.2,61.51,36.2,0,25.9,25,Clear
28.9,71.45,34.5,0,22.3,19.5,Clear
29.9,62.97,36.4,0,22.3,29.6,Partially cloudy
29.8,61.36,35.6,0,27.7,13.6,Clear
28.9,63.8,36.8,0,18.4,1.9,Clear
29,66.82,34.8,0,33.5,10.3,Clear
30.5,65.91,38.4,0,18.4,34.6,Partially cloudy
30.2,69.95,39.4,0,24.1,39.3,Partially cloudy
30.1,65.99,40.9,0,22.3,32.9,Partially cloudy
29.4,71.45,39.6,15,22.3,37.3,"Rain, Partially cloudy"
29.3,72.99,41.5,4,24.1,51.2,"Rain, Partially cloudy"
29.4,73.01,39.4,0,18.4,41,Partially cloudy
27.6,80.2,36.7,0,27.7,55,Partially cloudy
27.2,83.28,36.7,18,22.3,57.3,"Rain, Partially cloudy"
26.9,83.89,35.2,8.4,18.4,75.4,"Rain, Overcast"
28.6,74.23,36.8,0,18.4,57.9,Partially cloudy
28.4,77.71,36.9,0,24.1,55.9,Partially cloudy
28.5,77.6,38.9,85.1,18.4,48.2,"Rain, Partially cloudy"
29.2,75.02,36.9,1,37.1,42,"Rain, Partially cloudy"
27.7,80.79,38,11,46.4,53.3,"Rain, Partially cloudy"
29.1,75.66,38.7,0,22.3,51.8,Partially cloudy
29,76.59,39.8,0,18.4,43.3,Partially cloudy
30.2,68.4,38.2,0,18.4,31.7,Partially cloudy
29.8,70.78,39.4,0,24.1,39,Partially cloudy
29.7,68.72,36.9,0,16.6,39.1,Partially cloudy
29.7,70.29,37.4,0,22.3,42.8,Partially cloudy
29.7,68.07,38.2,0,24.1,25.7,Partially cloudy
30.1,69.06,38.4,0,18.4,37.5,Partially cloudy
29.6,72.04,38.1,0,22.3,60,Partially cloudy
28.8,73.72,36.8,0,18.4,35.5,Partially cloudy
30.2,68.85,38.4,0,22.3,30.6,Partially cloudy
31,62.61,39.4,0,20.5,29.1,Partially cloudy
30,67.53,38.4,0,22.3,28.5,Partially cloudy
31,58.09,36.9,0,18.4,25.3,Partially cloudy
30.4,61.23,37,0,33.5,17.3,Clear
29.8,64.27,36.4,0,22.3,28.6,Partially cloudy
29.2,71.29,39.4,7,18.4,35.3,"Rain, Partially cloudy"
29.3,70.59,38.2,7.1,18.4,50.3,"Rain, Partially cloudy"
29.6,68.92,39.5,0,22.3,28.4,Partially cloudy
29,70.85,37.1,0,18.4,41.5,Partially cloudy
29.8,65.75,38.4,0,22.3,25,Clear
29.4,67.63,36.2,0,18.4,43.6,Partially cloudy
30.6,63.2,37.4,0,27.7,19.2,Clear
30.6,65.95,38.4,0,24.1,30.4,Partially cloudy
29.3,73.48,39.6,0,27.7,40.8,Partially cloudy
27.1,82.34,39.6,2,27.7,55,"Rain, Partially cloudy"
27.6,81.24,38.3,19,22.3,57.3,"Rain, Partially cloudy"
27.5,81.41,36.9,12,14.8,59.7,"Rain, Partially cloudy"
28.9,74.13,38.9,0,22.3,56.5,Partially cloudy
28,79.09,40.7,35,18.4,75,"Rain, Partially cloudy"
28.9,74.45,36.9,29.1,18.4,52.7,"Rain, Partially cloudy"
28.3,75.61,38,0,31.3,50.4,Partially cloudy
29.6,71.62,38.6,0,16.6,36.6,Partially cloudy
28.4,78.7,38,2,18.4,62,"Rain, Partially cloudy"
29.6,71.57,38,0,18.4,47.5,Partially cloudy
28.8,76.73,39.3,4,46.4,61,"Rain, Partially cloudy"
26.7,86.44,37.2,77,14.8,74,"Rain, Partially cloudy"
26.4,88.66,36.4,64,33.5,71.5,"Rain, Partially cloudy"
27.4,83.83,36.5,10.9,18.4,50.9,"Rain, Partially cloudy"
27.8,83.01,36.7,5,18.4,46.3,"Rain, Partially cloudy"
26.9,87.17,33.8,36.1,14.8,58.2,"Rain, Partially cloudy"
28,84.13,36.7,3.2,9.4,52.8,"Rain, Partially cloudy"
28,81.98,40.8,0,18.4,58.3,Partially cloudy
28,79.92,36.8,0,18.4,47.3,Partially cloudy
28.4,79.5,38.1,0,13,47.7,Partially cloudy
29.3,74.86,39,0,18.4,36.9,Partially cloudy
28.7,77.8,38,0,18.4,44.7,Partially cloudy
27.9,82.32,36.7,0,18.4,61.3,Partially cloudy
28.1,79.22,38,0,18.4,63.7,Partially cloudy
26.7,84.67,36.7,36.5,14.8,61.8,"Rain, Partially cloudy"
26.2,90.61,34.9,42.1,18.4,62.5,"Rain, Partially cloudy"
27.3,84.52,35.6,18.1,14.8,58.8,"Rain, Partially cloudy"
26.2,91.12,34.7,7.7,14.8,55.6,"Rain, Partially cloudy"
27,86.7,36.7,6.8,24.1,60,"Rain, Partially cloudy"
27.6,82.1,36.7,0,18.4,57.5,Partially cloudy
26.5,84.49,37.9,35,14.8,60.9,"Rain, Partially cloudy"
27,87.56,39.3,60,18.4,62.7,"Rain, Partially cloudy"
27,84.18,34.7,0.2,27.7,69.7,"Rain, Partially cloudy"
25.8,90.92,36.3,11.4,18.4,69,"Rain, Partially cloudy"
26.7,85.05,36.7,28.9,18.4,58.3,"Rain, Partially cloudy"
29.3,71.8,38.2,0,14.8,31.8,Partially cloudy
27.5,82.9,39.8,19,14.8,46.6,"Rain, Partially cloudy"
27,87.63,34.8,0,14.8,71.7,Partially cloudy
26.4,89.25,36.6,30.8,27.7,65.4,"Rain, Partially cloudy"
24.9,92.08,32.7,5.4,24.1,81.5,"Rain, Overcast"
26.8,82.72,38,17,18.4,62.7,"Rain, Partially cloudy"
26.6,84.68,35.7,2,33.5,71.3,"Rain, Partially cloudy"
27.9,79.3,36.4,0,37.1,53.1,Partially cloudy
27.3,81.21,36.4,12.9,22.3,56.1,"Rain, Partially cloudy"
28.3,79.23,36.7,0,14.8,44.2,Partially cloudy
26.7,84.57,36.7,20,14.8,52.1,"Rain, Partially cloudy"
26,90.49,33.7,55.3,14.8,68.7,"Rain, Partially cloudy"
26,89.15,35,0,14.8,65.4,Partially cloudy
27.9,81.55,37.9,0,20.5,45.3,Partially cloudy
27.7,81.72,38.2,4.1,14.8,44.6,"Rain, Partially cloudy"
27.8,82.01,33.7,0,27.7,38.6,Partially cloudy
26.8,87.62,36.3,0,13,66.7,Partially cloudy
27.7,84.01,36.6,86,16.9,48.2,"Rain, Partially cloudy"
28.3,82.95,37.9,27,18.4,55.3,"Rain, Partially cloudy"
28.2,80.57,39.3,0,14.8,41.4,Partially cloudy
27.5,81.5,40.9,6,23.2,42.5,"Rain, Partially cloudy"
28.1,80.26,39.4,0,33.5,49.2,Partially cloudy
26.1,87.39,37.9,4.5,22.3,60.4,"Rain, Partially cloudy"
27,81.43,36.7,0,37.1,58,Partially cloudy
25.9,86.99,34.5,0.4,33.5,67.2,"Rain, Partially cloudy"
27.8,76.79,35.6,0,37.1,59.7,Partially cloudy
27.6,79.73,38.9,6.2,37.1,50.9,"Rain, Partially cloudy"
27.6,79.43,38,0,37.1,54.2,Partially cloudy
28.6,77.03,37.5,0,37.1,65.5,Partially cloudy
28.9,76.93,38,0.8,37.1,61.8,"Rain, Partially cloudy"
27.3,80.34,38,55.1,31.3,56.9,"Rain, Partially cloudy"
26.9,82.76,36.6,8,27.7,60.3,"Rain, Partially cloudy"
26.4,83.38,34.3,0.2,46.4,56.2,"Rain, Partially cloudy"
28.4,73.73,35.2,0,46.4,53.1,Partially cloudy
26.9,81.73,32.9,3,37.1,55.6,"Rain, Partially cloudy"
25.1,93.61,,16.5,33.5,59.1,"Rain, Partially cloudy"
26.3,86.61,36.3,0.1,25.9,59.4,"Rain, Partially cloudy"
27.9,79.56,38.3,9.4,33.5,71.7,"Rain, Partially cloudy"
26.3,85.7,39.3,39.9,33.5,57.6,"Rain, Partially cloudy"
27.9,79.54,39.4,9,24.1,50.8,"Rain, Partially cloudy"
28.4,79.8,38.2,25,31.3,43.1,"Rain, Partially cloudy"
28.9,72.13,39.5,13,22.3,36.9,"Rain, Partially cloudy"
27,85.2,36.1,47,20.5,54.2,"Rain, Partially cloudy"
26.2,88.26,34.7,14.1,22.3,50,"Rain, Partially cloudy"
27.5,83.25,36.3,1,25.9,54.6,"Rain, Partially cloudy"
28.2,76.82,35.6,41.9,14.8,37.8,"Rain, Partially cloudy"
28.9,76.71,36.7,0,18.7,41.5,Partially cloudy
26.4,90.85,34.7,29.2,22.3,66.7,"Rain, Partially cloudy"
27.3,83.79,38,38,18.4,48.2,"Rain, Partially cloudy"
28.6,77.64,37.8,0,24.1,42.3,Partially cloudy
28.8,78.52,37.6,15,20.5,40,"Rain, Partially cloudy"
28.7,75.04,36.7,40.9,18.4,34.7,"Rain, Partially cloudy"
28.9,78.97,38.2,0,18.4,35.9,Partially cloudy
28.6,79.86,40.7,0,18.4,38.1,Partially cloudy
26.5,87.69,38.1,61.9,18.4,67.5,"Rain, Partially cloudy"
27.8,81.47,39.4,0,14.8,45.9,Partially cloudy
26.8,85.11,39.3,19.1,18.4,47.9,"Rain, Partially cloudy"
27.1,86.6,39.3,36,37.1,50,"Rain, Partially cloudy"
27.2,83.49,37.9,88,16.6,60.6,"Rain, Partially cloudy"
27.2,86.94,40.8,3,18.4,58.7,"Rain, Partially cloudy"
26.5,88.38,37.9,67.9,18.4,66,"Rain, Partially cloudy"
27.1,87,37.1,2,18.4,65.5,"Rain, Partially cloudy"
27.8,83.89,40.8,12,31.3,69.1,"Rain, Partially cloudy"
27.4,87.25,39.5,6,24.1,57.1,"Rain, Partially cloudy"
27.8,81.68,37.9,16.4,29.5,54.6,"Rain, Partially cloudy"
27.9,78.03,38,6,37.1,41,"Rain, Partially cloudy"
26.4,87.65,36.7,9.7,64.8,53.2,"Rain, Partially cloudy"
26.7,86.86,35.2,2.3,18.4,71.2,"Rain, Partially cloudy"
27.9,80.36,37.9,23,22.3,59.7,"Rain, Partially cloudy"
27,86.35,34.7,0.4,11.2,58.6,"Rain, Partially cloudy"
26.7,86.64,38,21,24.1,50.8,"Rain, Partially cloudy"
27.3,81.56,36.6,0,18.4,51.7,Partially cloudy
27.1,81.47,36.9,29,55.4,58.1,"Rain, Partially cloudy"
27.5,81.18,35.4,1,33.5,58.8,"Rain, Partially cloudy"
28.3,79.26,39.1,0,22.3,31.6,Partially cloudy
28,78.59,38,0,46.4,45.7,Partially cloudy
28.4,75.48,38.1,4,22.3,36.9,"Rain, Partially cloudy"
28.3,75.98,38,4,16.6,41.2,"Rain, Partially cloudy"
28.9,72.89,35.9,0,13,40.7,Partially cloudy
28.5,78.95,37.9,0,27.7,56.3,Partially cloudy
26.4,87.83,37.2,64.1,18.4,50.4,"Rain, Partially cloudy"
28.2,80.12,40.8,3,35.3,44.2,"Rain, Partially cloudy"
28.1,80.13,39.3,0.4,27.7,40,"Rain, Partially cloudy"
29.4,76.43,40.7,0,22.3,57.3,Partially cloudy
27.7,84.7,37.9,8.9,18.4,68.8,"Rain, Partially cloudy"
27.3,85.75,38.4,40,29.5,56.7,"Rain, Partially cloudy"
26.3,87.09,35.2,35.9,46.4,70,"Rain, Partially cloudy"
28.7,77.54,37.5,7.9,24.1,52.2,"Rain, Partially cloudy"
26.9,88.89,37.9,5.5,37.1,59,"Rain, Partially cloudy"
26,92.86,36.2,20,18.4,50.3,"Rain, Partially cloudy"
28.2,80.2,38.9,0,24.1,40.3,Partially cloudy
29.8,74.54,39.4,0,23.2,34.4,Partially cloudy
30.3,69.24,39.5,0,24.1,33.3,Partially cloudy
30.3,72.77,40.7,0.8,24.1,49.2,"Rain, Partially cloudy"
25.6,88.72,36.9,70.9,22.3,63.3,"Rain, Partially cloudy"
28.3,79,38.8,48.9,31.3,48.3,"Rain, Partially cloudy"
27,84.44,37.9,4,18.4,51.1,"Rain, Partially cloudy"
27.4,85.84,36.5,0,14.8,52,Partially cloudy
28.1,75.45,36.7,0,29.5,48.1,Partially cloudy
29.3,68.9,37.1,0,18.4,45,Partially cloudy
29.3,70.79,37.1,0,27.7,39.7,Partially cloudy
28.1,75.47,39.2,0,27.7,42.2,Partially cloudy
28.4,76.04,38.7,0,31.3,40.7,Partially cloudy
28.6,75.04,38.2,0.3,33.5,34.1,"Rain, Partially cloudy"
28.8,77.6,39.3,6,18.4,45.3,"Rain, Partially cloudy"
29.1,77.25,37.3,0,16.7,51.9,Partially cloudy
27.8,82.37,37.9,51,18.4,47.1,"Rain, Partially cloudy"
29.3,76.9,37.9,0,18.4,41.4,Partially cloudy
28.6,80.5,37.9,0,18.4,40,Partially cloudy
28.6,79.58,37.1,48,14.8,46,"Rain, Partially cloudy"
27.2,81.66,37.9,0,25.9,45.4,Partially cloudy
28.8,78.81,38.1,0,25.9,29.2,Partially cloudy
28.2,80.29,38,0.5,18.4,41.4,"Rain, Partially cloudy"
28.6,79.1,38,0,22.3,51.4,Partially cloudy
27.3,85.48,37.9,8,20.5,50.6,"Rain, Partially cloudy"
28.4,79.87,37.9,0,18.4,42.5,Partially cloudy
29.3,78.02,37.9,6.1,18.4,45.9,"Rain, Partially cloudy"
29.6,75.32,39.3,0,18.4,33.8,Partially cloudy
27.8,83.47,36.7,0,14.8,30.5,Partially cloudy
27.8,83.38,36.9,0,18.4,31.8,Partially cloudy
27.2,85.3,36.1,0,18.4,66,Partially cloudy
28.8,78.57,37.3,0,14.8,55,Partially cloudy
28.2,79.35,37.9,20,22.3,46.3,"Rain, Partially cloudy"
29.9,70.8,38.2,0,20.5,50.8,Partially cloudy
28,79.79,36.7,0,18.4,42.9,Partially cloudy
28.9,73.42,37.2,0,13,30.3,Partially cloudy
28.7,78.13,37.9,0,14.8,47.6,Partially cloudy
29.1,76.21,37.9,2,14.8,48.5,"Rain, Partially cloudy"
28.3,79.65,36.7,0,18.4,48,Partially cloudy
28.6,77.37,36.7,0,18.4,47.8,Partially cloudy
28.1,79.97,36.7,0,18.4,55.3,Partially cloudy
27.6,85.91,36.4,2,14.8,43.9,"Rain, Partially cloudy"
28.8,77.68,38.2,0,27.7,34.7,Partially cloudy
28.1,79.33,38,7,13,43.3,"Rain, Partially cloudy"
27.2,86.68,37.9,40.1,22.3,57.6,"Rain, Partially cloudy"
27.4,85.75,34.7,0,13,44.3,Partially cloudy
28.1,82.86,37.9,31.2,27.7,45.6,"Rain, Partially cloudy"
28.5,80.64,36.7,90.7,18.4,39.5,"Rain, Partially cloudy"
28.8,77.31,37.3,0,20.5,34.4,Partially cloudy
28.5,74.36,35.6,0,33.5,25.8,Partially cloudy
28.6,67.52,34.7,0,27.7,27.6,Partially cloudy
27.7,68.8,33.3,0,14.8,15.9,Clear
28.2,73.14,35,0,16.6,31.4,Partially cloudy
28.9,70.01,34.7,0,20.5,30,Partially cloudy
29.1,68.11,34.9,0,18.4,13.3,Clear
29.1,69.52,36.1,0,22.3,40,Partially cloudy
29.3,72.31,38,0,22.3,42.9,Partially cloudy
28.9,73.94,36.7,0,16.6,50.7,Partially cloudy
28.5,78.48,36.7,0,27.7,37.1,Partially cloudy
25.7,89.42,30.2,0.8,18.4,54.3,"Rain, Partially cloudy"
27.6,80.64,36.3,0.5,18.4,45,"Rain, Partially cloudy"
28,79.55,36.7,0,18.4,39.4,Partially cloudy
27.9,80.43,36.7,32,27.7,57.2,"Rain, Partially cloudy"
28.4,78.18,36.4,33,14.8,36.7,"Rain, Partially cloudy"
28.1,83.27,36.3,4.4,22.3,48.3,"Rain, Partially cloudy"
28.6,77.8,36.7,0.8,22.3,40.9,"Rain, Partially cloudy"
28.4,80.77,37.9,8,18.4,44.7,"Rain, Partially cloudy"
28,83.24,37.9,8,14.8,37.9,"Rain, Partially cloudy"
28.8,78.18,36.8,3,14.8,41.9,"Rain, Partially cloudy"
28.8,78.8,37.9,0,14.8,46,Partially cloudy
28,80.67,37.9,0,18.4,43,Partially cloudy
28.2,77.12,35.8,0,18.4,29.5,Partially cloudy
28.7,70.65,34.7,0,25.9,36.8,Partially cloudy
28.6,69.79,33.8,0,18.4,41,Partially cloudy
28.1,78.32,35.2,9,27.7,52.6,"Rain, Partially cloudy"
28.8,71.09,35.6,0,18.4,22.9,Clear
27.7,70.4,33.3,0,18.7,14.5,Clear
26.2,78.07,33.6,0,18.4,21.8,Clear
27.3,65.75,31.6,0,18.4,27.1,Partially cloudy
27.6,69.71,33.8,0,24.1,18.4,Clear
28,69.85,34.6,0,25.9,31.7,Partially cloudy
27.9,73.2,34.7,0,18.4,31.8,Partially cloudy
28.6,70.02,35,0,25.9,15,Clear
26.4,76.25,32.9,0,22.3,10.7,Clear
26.7,72.54,32.4,0,18.4,13.8,Clear
27.6,70.35,34.3,0,18.4,16.5,Clear
27.6,70.6,33.8,0,31.3,15,Clear
27.3,73.62,35.9,0,20.5,18.1,Clear
28,74.51,35.3,0,27.7,36.2,Partially cloudy
28.1,75.99,35.7,0,27.7,43.5,Partially cloudy
28.3,72.98,36.7,0,18.4,47.7,Partially cloudy
27,68.65,32,0,27.7,45,Partially cloudy
26.1,71.29,33.3,0,18.4,15.6,Clear
26.8,67.6,32.5,0,9.4,6.9,Clear
27,71.53,33.5,0,18.4,22,Clear
27.5,71.04,33.1,0,25.9,14.7,Clear
27.3,67.56,33.4,0,24.1,23.6,Clear
26,75.23,42.1,0,25.9,12.8,Clear
26.3,75.62,32.6,0,27.7,17.5,Clear
27.4,71.9,33.8,0,18.4,16.2,Clear
28,69.08,33.8,0,22.3,24.1,Clear
27.9,70.35,32.6,0,22.3,4.5,Clear
27.6,72.23,33.1,0,22.3,25,Clear
27,73.95,33.8,0,22.3,15.4,Clear
27,74.67,34.7,0,22.3,28.8,Partially cloudy
26.7,74.44,34.3,0,22.3,20.5,Clear
27.4,73.58,33.4,0,28.1,33.7,Partially cloudy
27.9,68.54,32.4,0,22.3,22.3,Clear
27.2,70.27,32.5,0,18.4,25,Clear
27.4,67.21,32.2,0,18.4,9.6,Clear
27.3,62.33,31.2,0,18.4,16.4,Clear
26.4,70.39,31.4,0,20.5,41.2,Partially cloudy
25.7,69.83,31.4,0,29.5,22.1,Clear
25.6,68.63,30.4,0,27.7,19.4,Clear
26,70.45,31.4,0,27.7,28.5,Partially cloudy
26.8,71.02,32,0,18.4,26.4,Partially cloudy
27.4,72.61,32.6,0,22.3,29.3,Partially cloudy
27.6,73.26,33.4,0,18.4,30.4,Partially cloudy
27.4,76.78,34.7,0,18.4,43.3,Partially cloudy
26,77.44,33.7,0,24.1,31,Partially cloudy
27.3,67.77,32.6,0,26.3,19.7,Clear
27.6,66.99,32.5,0,27.7,20,Clear
27.1,71.96,32.8,0,18.7,18.3,Clear
26.4,73.57,33.8,0,18.7,3.8,Clear
28.1,64.39,33.6,0,27.7,11.8,Clear
28.2,68.91,33.8,0,22.3,22.8,Clear
27.8,72.73,33.8,0,25.9,16.4,Clear
27.5,74.53,35.6,0,27.7,7.5,Clear
27,69.6,31.3,0,33.5,33.7,Partially cloudy
26.6,64.35,30.4,0,27.7,19.6,Clear
27.4,65.2,31.9,0,26.3,15.6,Clear
26.8,67.27,31.4,0,22.3,5.3,Clear
26.9,66.9,30.9,0,29.5,4.6,Clear
25.7,69.85,31.5,0,31.3,1.8,Clear
26.4,66.67,31.4,0,40.7,3.1,Clear
26.9,60.02,30.5,0,29.7,3.4,Clear
26.1,67.33,31.4,0,28.1,15,Clear
26.1,64.72,31.4,0,22.3,13.4,Clear
26.2,66.13,31.5,0,33.5,29,Partially cloudy
26.2,66.9,30.9,0,22.3,21.3,Clear
26.6,66.37,30.9,0,27.7,33.3,Partially cloudy
27.4,66.54,32,0,27.7,9.2,Clear
27.5,65.28,32.5,0,24.1,25.6,Partially cloudy
27.5,68.1,32.6,0,29.9,34,Partially cloudy
25.9,74.79,31.9,0,27.7,20,Clear
27.6,69.12,33.5,0,37.1,22.7,Clear
28.3,71.76,34.3,0,28.1,19.4,Clear
28.8,69.01,34.7,0,24.1,31.1,Partially cloudy
28.7,68.65,35,0,27.7,29.2,Partially cloudy
28.5,68.49,35.9,0,27.7,31.5,Partially cloudy
27.1,70.87,34.2,0,29.5,15.3,Clear
27,71.04,33.6,0,37.1,19.2,Clear
28.1,67.45,33.8,0,29.5,8.6,Clear
27.4,71.75,33.4,0,27.7,23.7,Clear
27.6,65.47,32,0,37.1,18.5,Clear
26.9,65.24,37,0,27.7,25.6,Partially cloudy
26,67.95,31.9,0,27.7,25,Clear
27.5,60.97,31.4,0,28.1,8.3,Clear
26.4,71.89,32.4,0,27.7,23.3,Clear
27.6,68.82,33.6,0,29.9,6.9,Clear
28.1,67.09,33.6,0,27.7,8.1,Clear
27.4,64.27,31.9,0,37.1,4.1,Clear
25.9,61.4,31,0,33.5,6.8,Clear
27.3,50.12,29.9,0,27.7,8.6,Clear
26,57.9,30.1,0,28.1,9.2,Clear
26.9,61.3,30.9,0,25.9,5,Clear
26.3,70.38,33.1,0,27.7,8.1,Clear
27.2,71.61,32.6,0,27.7,4.6,Clear
26.9,71.18,33.8,0,40.7,5,Clear
27.6,72.1,34.3,0,40.7,10.7,Clear
28.6,67.54,35,0,37.1,15.9,Clear
28.7,66.43,34.3,0,37.1,19.6,Clear
28.5,65.2,33.6,0,33.5,15,Clear
27.8,68.77,34,0,27.7,17,Clear
28,67.82,35,0,27.7,26.8,Partially cloudy
26.8,73.27,33.7,0,33.5,23.9,Clear
26.7,71.88,32,0,28.1,23.6,Clear
27.8,63.19,33,0,37.1,7.4,Clear
28.5,58.6,32.5,0,31.3,16.4,Clear
28.2,65.04,34.3,0,27.7,27.5,Partially cloudy
28.9,60.11,32.7,0,27.7,6.5,Clear
27.3,65.6,33,0,27.7,15.7,Clear
28,57.1,33.6,0,28.1,17.6,Clear
28.1,55.85,32,0,31.3,10.6,Clear
27.1,64.46,32.4,0,24.1,23.5,Clear
28.2,65.54,33.7,0,29.5,21,Clear
27.6,66.41,33.8,0,26.3,8.7,Clear
28,63.52,35,0,18.4,18.3,Clear
29.2,57.6,34.7,0,18.7,6.5,Clear
28.3,63.71,34.5,0,37.1,16.5,Clear
27.3,68.75,34.6,0,25.9,12.3,Clear
29.3,57.22,33.5,0,37.1,11.3,Clear
27.9,65.7,35.8,0,37.1,6.8,Clear
28.8,63.31,34.1,0,27.7,27.9,Partially cloudy
29.7,60.25,34.7,0,27.7,22.9,Clear
29.4,60.9,34.7,0,27.9,11.8,Clear
28.8,63.97,34.8,0,37.1,20,Clear
28.7,62.95,34.3,0,31.3,25.3,Partially cloudy
28.4,61.36,33.6,0,37.1,20,Clear
29.9,54.91,34.8,0,29.5,17,Clear
29.3,60.16,34.7,0,29.5,30,Partially cloudy
29.6,55.94,34.7,0,25.9,11.9,Clear
28.2,64.03,33.6,0,27.7,16,Clear
27.8,64.96,33.5,0,37.1,11.9,Clear
27.3,68.81,33.5,0,18.4,10.7,Clear
28.7,65.44,35.6,0,27.7,20.4,Clear
29.8,60.87,34.7,0,27.7,23.1,Clear
29.9,64.27,36.3,0,37.1,17,Clear
28.6,69.38,35.5,0,27.7,21.7,Clear
29.1,68.57,35.6,0,24.1,41.8,Partially cloudy
28.4,68.59,34.7,0,37.1,25.8,Partially cloudy
29.4,63.36,34.7,0,33.5,10.5,Clear
28.8,64.84,35.9,0,33.5,18.2,Clear
29.3,63.01,35.4,0,37.1,20.6,Clear
29.9,64.06,35.8,0,27.7,28.6,Partially cloudy
