Date,Temperature,HeatIndex,Precipitation,WindSpeed,Conditions,Visibility,CloudCover,RelativeHumidity
4/10/1973,26.6,36.7,0,7.2,Partially cloudy,8.5,54.9,80.23
4/11/1973,27.3,35.2,0,18,Overcast,14.6,83.5,80.13
4/13/1973,27.8,37.9,0,14.8,Partially cloudy,12,52.2,76.49
4/14/1973,27.8,36.9,0,14.8,Partially cloudy,17.4,29.9,72.99
4/15/1973,30.1,36.7,0,7.2,Partially cloudy,12.8,32.5,68.99
4/17/1973,26.4,36.3,0,18.4,Partially cloudy,13.7,72.5,79.39
4/18/1973,28.4,38,0,7.2,Partially cloudy,15.7,56.7,75.21
4/19/1973,27.1,34.7,0,0.1,Partially cloudy,13.4,54.9,84
4/20/1973,26.4,34.7,0,9,Partially cloudy,12.3,69.9,83.95
4/21/1973,27.6,35.2,0,22,Partially cloudy,15,42.7,76.78
4/22/1973,26.7,36.3,0,18.4,Overcast,10.8,88,87.52
4/24/1973,28.7,38,0,7.2,Partially cloudy,10,56.7,80.25
4/25/1973,27.8,34.7,0,10.8,Partially cloudy,9.8,70,84.26
4/26/1973,25.8,35.8,0,25.9,Overcast,14,82.4,92.71
4/27/1973,28.7,37.9,0,13,Partially cloudy,14,39.9,78.7
4/28/1973,27.1,36.3,0,10.8,Partially cloudy,9.5,57.7,85.76
4/29/1973,30.1,38,0,13,Partially cloudy,13.8,46,65.21
4/30/1973,26.5,34.7,0,14.8,Overcast,13.8,76.2,85.92
5/1/1973,27.1,33.7,0,9,Overcast,9,86.7,81.02
5/2/1973,26.6,35.2,0,14.8,Partially cloudy,15.4,74.6,85.07
5/3/1973,27.9,36.3,0,7.2,Partially cloudy,13.4,67.9,79.25
5/4/1973,27.8,36.7,0,14.8,Partially cloudy,14.8,55,71.78
5/6/1973,26.4,35.2,0,10.8,Partially cloudy,14.3,73.6,82.71
5/7/1973,27.5,35.6,0,9,Partially cloudy,13.2,58,78.61
5/8/1973,26.8,33.7,0,10.8,Overcast,10.5,95,83.16
5/9/1973,26.6,32.8,0,7.2,Partially cloudy,9.5,60,88.99
5/10/1973,28.6,36.9,0,9,Partially cloudy,12,30,76.62
5/11/1973,28.3,36.7,0,18.4,Partially cloudy,10.3,65,76.26
5/12/1973,30.1,35.2,0,20.2,Overcast,12,90,70.3
5/13/1973,27.1,33.7,0,9,Partially cloudy,9.5,70,84.33
5/14/1973,28.4,35.2,0,5.4,Partially cloudy,11,56.7,79.26
5/15/1973,30.1,36.3,0,10.8,Partially cloudy,12.5,75,74.64
5/16/1973,28.1,36.3,0,18.4,Partially cloudy,12,50,84.44
5/17/1973,25.4,32.8,0,7.2,Overcast,10.3,79.7,92.64
5/18/1973,28.1,36.3,0,14.8,Overcast,10.7,76.7,81.65
5/19/1973,28.1,36.7,0,13,Partially cloudy,10.7,70,81.82
5/20/1973,27.1,30.8,0,0,Overcast,12,90,88.84
5/22/1973,27.1,30.2,0,7.2,Overcast,13,100,83.68
5/23/1973,29.1,33.7,0,13,Overcast,12,90,74.47
5/24/1973,26.1,33.7,0,18,Partially cloudy,14.5,53.6,84.01
5/25/1973,28.1,34.3,0,10.8,Partially cloudy,11.3,60,79.58
5/26/1973,26.1,30.8,0,5.4,Partially cloudy,9.5,72.5,92.88
5/27/1973,28.3,36.3,0,14.8,Partially cloudy,12.8,64,79.34
5/28/1973,28.6,33.7,0,22,Partially cloudy,12,60,79.13
5/30/1973,26.1,35.2,0,25.9,Partially cloudy,14.6,66.4,75.68
5/31/1973,27.7,36.7,0,18.4,Partially cloudy,14.7,50,76.92
6/1/1973,27.1,35.2,0,18.4,Partially cloudy,14.7,40,84.7
6/2/1973,28.1,38,0,13,Partially cloudy,13.2,30,73.36
6/3/1973,28.6,38,0,11.2,Partially cloudy,13.2,49.7,73.37
6/4/1973,27.3,37.9,0,9.4,Partially cloudy,13,47.3,79.67
6/5/1973,28.1,35.2,0,13,Partially cloudy,11.2,56,79.59
6/6/1973,29.1,37.9,0,20.5,Partially cloudy,15,54,74.99
6/7/1973,28.4,39.3,0,24.1,Partially cloudy,12.6,33.2,77.66
6/8/1973,28.1,38,0,22.3,Partially cloudy,14.7,44.9,75.28
6/9/1973,27.8,38,0,16.6,Partially cloudy,13,43.4,77.13
6/10/1973,28.1,36.9,0,22.3,Partially cloudy,13.9,27.3,76.12
6/11/1973,28.1,35.6,0,14.8,Partially cloudy,14.2,64,76.41
6/12/1973,28.1,30.8,0,0,Partially cloudy,20,40,69.93
6/13/1973,28.4,35.2,0,18.4,Partially cloudy,10,70,76.01
6/15/1973,31.1,35.6,0,13,Clear,14.5,20,60.67
6/16/1973,27.8,36.9,0,10.9,Clear,16.6,16.8,75.1
6/17/1973,28.4,37.9,0,21.8,Partially cloudy,12.6,73.2,82.3
6/18/1973,26.4,37.9,0,14.7,Clear,16.3,20.7,78.21
6/19/1973,28.8,37.9,0,32.9,Partially cloudy,13.7,52.7,74.59
6/20/1973,27.9,32.8,0,16.6,Partially cloudy,13.5,41.8,89.2
