Temperature,Relative_Humidity,Condition
27.8,80.87,2
28.5,74.04,2
27.3,79.51,5
28.7,78.7,2
28.4,75.62,4
25.9,86.66,5
26.9,81.37,5
27.5,79.99,5
26.6,79.14,2
28.9,70.78,2
29.9,59.65,2
28.1,64.69,2
28.2,63.32,0
30.6,56.09,2
28.3,63.52,0
30.5,57.63,2
30.1,63.46,2
28.8,70.71,2
27.5,80.14,2
27,84.52,5
27.8,81.17,5
26.3,87.63,5
25.8,86.18,5
26.9,82.76,2
27,84.79,5
27.2,82.04,5
26.7,83.81,5
28.6,75.98,5
28.7,78.56,5
28.2,81.03,5
28.1,79.86,5
28,77.84,2
26.3,78.91,5
29.6,67.73,2
30.3,62.75,2
29.1,69.18,5
29.5,71.56,2
28.5,75.57,2
28.9,72.74,2
29.1,69.49,2
29.9,67.91,2
28.7,72.77,5
27.9,77.55,5
28.2,76.75,5
26.7,83.19,5
26,87.28,5
26.2,86.31,5
25,90.13,5
25.5,86.77,5
27,78.26,5
25.5,81.45,5
27.8,75.36,5
28.4,72.24,2
27.8,76.09,2
26.9,82.36,5
26.6,80.17,5
27.3,78.53,1
27.6,81.25,5
26.6,85.72,5
26.9,85.33,5
26,89,5
26.3,86.61,5
26.6,84.3,5
28.8,74.48,2
28.4,83.5,5
28.3,82.72,2
28.4,81.54,2
28.1,78.21,5
27.1,86.05,5
27.6,82.55,5
28,80.78,5
25.5,89.81,5
25.7,90.93,5
26.5,83.26,5
25.2,84.17,4
26.9,79.02,5
26.5,84.53,5
27.6,77.89,5
25.9,84.26,5
27.2,77.01,5
26.6,81.09,5
26.8,81.44,4
27.7,74.07,5
27.7,73.16,5
28.5,73,5
27.9,73.85,5
28.6,67.99,5
28.7,71.09,2
27.8,76.8,5
27.3,75.55,5
26.6,80.16,5
27.5,73.05,5
27.3,76.46,2
27.9,75.43,2
27.1,74.63,2
26.3,84.08,5
28.4,74.08,2
27.3,82.29,5
24.7,89.47,5
27.4,81.83,5
27,82.3,5
27,84.24,5
28.6,73.89,5
25.1,88.55,5
27.3,80.72,5
27.2,79.88,5
27.6,78.15,2
27,81.72,5
27,81.26,5
25.1,90.34,5
26.3,83.91,5
27.7,77.36,2
27.2,74.97,5
26.3,82.32,5
27.2,80.26,5
27.3,82.75,5
26.5,82.13,5
26.3,83.49,5
27.7,76.09,5
28.3,73.97,5
28.1,71.99,5
28.3,79.19,5
26.7,86.91,5
26.8,86.08,5
25.9,85.88,5
27.5,79.07,5
26.7,84.58,2
27.3,83.23,5
26.3,87.01,5
26.6,86.71,5
26.6,83.33,5
27.1,83.29,2
28,80.41,2
27,84.04,5
27.1,81.18,5
27.9,81.4,5
27.9,81.22,5
27.4,83.41,5
27.6,83.02,2
27.5,81.63,5
28.2,78.45,5
27.6,81.76,5
26.4,86.03,5
27.2,83,5
26.9,83.93,5
27.3,81.6,5
26.1,85.87,5
27.6,74.63,5
26.9,74.19,2
27.7,70.55,5
28.5,69.12,0
29,67.95,2
28.7,74.32,5
28.2,81.34,5
28.4,80.82,5
28.7,75.9,5
28.3,74.98,2
27.6,74.25,2
28.6,65.23,0
29.1,75,2
28.4,79.68,5
27.6,81.57,5
28.6,79.13,5
29.6,72.92,5
28.9,73.37,2
29,71.22,2
28.9,70.73,2
28.6,70.4,0
28.8,73.15,5
27.5,72.37,2
27.3,68.87,2
27.8,68.34,2
26.7,72.88,2
29,66.13,2
29,68.82,0
27.7,74.43,0
27.9,73.33,0
28.8,75.18,2
27.5,82.17,5
27.6,80.65,5
29,70.63,5
30.1,66.39,0
29.4,66.41,0
29.4,64.82,0
26.8,73.91,0
28.6,71.4,0
29.5,74.57,2
28.2,75.95,2
29.9,69.1,2
29.5,72.93,2
29.7,71.74,2
28.6,77.16,2
29,76.98,2
28.9,73.61,5
26.8,80.16,5
27.9,76.75,2
28.5,75.57,0
28.7,72.71,5
28.5,73.99,0
26,88.67,2
25,91.19,2
28.5,78.16,2
26.3,85.78,5
28.7,76.02,5
28.2,78.02,5
28.1,77.94,5
28.8,70.64,0
28.1,68.12,0
27.1,68.19,0
27.5,64.02,0
26.9,69.82,2
27.4,71.04,2
27.7,75.04,5
27.1,78.01,5
28.4,73.51,2
27.1,77.03,0
27.4,68.97,2
26.4,73.88,0
27.5,72.34,0
27.2,72.59,2
27.4,73.47,5
27.1,61.98,0
25.8,66.2,2
25.7,63.24,0
24.5,64.65,0
26,58.63,0
28.3,61.7,0
26.5,73.59,2
25.8,78.35,2
28.1,72.35,2
29.1,71.63,2
27.9,75.85,2
27,78.61,5
25,92.27,5
26.9,77.44,2
28.4,73.65,2
27.5,75.87,5
28,75.14,5
27.2,75.97,2
27.3,75.6,5
26.1,82.24,5
28.1,73.59,2
28.1,75.45,5
27.8,74.51,2
27.8,72.24,2
28.2,67.36,2
28,68.36,0
28.2,64.83,2
28.1,70.03,0
27.2,73.83,0
27.4,69.45,0
26.1,70.94,0
26.6,67.45,0
26.9,66.52,0
26.3,66.64,2
25,68.86,0
25,66.66,0
26.7,62.8,0
26.6,69.22,0
26.7,72.04,0
27.8,69.83,2
27.7,72.88,0
27.1,73.44,0
27.3,68.5,2
26.2,65.64,2
28,65.1,0
27.4,69.59,0
27.5,70.91,2
26.4,63.41,2
27,59.7,2
26.3,68.7,0
27.7,67.05,2
27.4,65.92,0
26.8,69.49,0
28.3,65.42,2
26.5,69.01,2
26.6,66.44,0
27.4,66.5,2
26.1,72.39,0
26.8,64.51,0
26.8,72.41,0
28.5,71.88,2
28.2,74.13,2
27.9,66.91,2
28.3,70.51,0
27.2,74.09,2
28.2,71.17,2
28.3,70.64,2
28,65.78,0
28.7,68.01,0
27.5,69.64,3
28.1,71.58,0
28.4,64.48,0
27.3,70.33,0
28,69.45,2
28.1,66.66,3
28.6,67.22,0
28.1,67.86,0
30.4,58.7,0
30,65.04,0
28.4,72.57,0
28.2,66.24,2
28.1,70.91,2
28.4,65.76,2
28.5,69.41,0
29.6,62.95,0
29.9,60.45,0
27.7,73.4,0
28.7,68.44,2
29.3,66.38,0
29.5,63.78,3
28.5,68.41,2
28.6,64.53,5
28.6,69.79,2
28.7,69.95,5
28.4,71.86,2
29,68.68,5
28.9,68.35,2
29.5,61.71,3
29.5,66.26,2
27.4,75.59,5
26.2,81.61,5
26.5,80.01,5
27.9,71.5,5
28.7,63.99,2
26.7,74.2,5
28.7,73.14,2
28.6,76.42,5
29,71.14,5
29.9,64.92,0
29.3,70.26,5
28.7,73.98,2
27.8,74.31,2
