Date,MaxTemp,MinTemp,Temp,HeatIndex,Precipitation,WindSpeed,WindDirection,Visibility,CloudCover,RelativeHumidity,Conditions
2/9/2000 0:00,30.1,20.6,25.4,34.7,62,22.3,287.2,6.7,67.8,86.45,"Rain, Partially cloudy"
2/10/2000 0:00,29.9,24.1,26.6,34.3,0,25.9,289,8.8,54.4,80.36,Partially cloudy
2/11/2000 0:00,32.1,22.2,27.9,37,0.7,18.4,280.26,10.2,45.7,74.76,"Rain, Partially cloudy"
2/12/2000 0:00,32.1,23.6,28.4,38,11.7,22.3,258.89,7.8,71.6,75.49,"Rain, Partially cloudy"
2/13/2000 0:00,31.7,24.1,27.6,37.9,22.2,11.2,268.89,7.7,58.1,80.53,"Rain, Partially cloudy"
2/14/2000 0:00,31.2,24.1,26.9,36.7,12,22.3,274.75,5.5,48.5,83.38,"Rain, Partially cloudy"
2/15/2000 0:00,30.1,21.2,26.7,35.6,3,10.9,157.14,6.5,43.9,84,"Rain, Partially cloudy"
2/16/2000 0:00,33.1,21.3,27.4,39.4,4,18.4,286.27,8,47.4,81.01,"Rain, Partially cloudy"
2/17/2000 0:00,32.2,22.2,27.4,37.4,12.6,22.3,272.5,8.8,54.8,82.38,"Rain, Partially cloudy"
2/18/2000 0:00,30.1,22.4,26.6,36.3,10,27.7,249.11,6.1,61.4,84.38,"Rain, Partially cloudy"
2/19/2000 0:00,33.1,21.2,28.2,38.2,5.1,18.4,292,9.3,45.6,73.93,"Rain, Partially cloudy"
2/20/2000 0:00,32.2,25,27.6,37,0,27.7,293.16,10.5,45.2,76.99,Partially cloudy
2/21/2000 0:00,31.1,24.7,28,44.5,0,24.1,308.57,9.5,57.6,77.47,Partially cloudy
2/22/2000 0:00,31.1,25,27.7,37.9,0.7,27.3,315.43,7.9,49.5,80.95,"Rain, Partially cloudy"
2/23/2000 0:00,32.4,21,27.2,39.2,14.66,18.4,150.33,7.4,52.9,80.01,"Rain, Partially cloudy"
2/24/2000 0:00,32.4,25,27.3,38.6,3.2,13,297.78,7.3,56.7,80.77,"Rain, Partially cloudy"
2/25/2000 0:00,31.1,22.1,26.3,36.7,45,18.4,264.92,6.4,56.1,84.53,"Rain, Partially cloudy"
2/26/2000 0:00,30.1,21.2,25.5,34.3,76.7,27.6,264.67,7.4,64.2,87.13,"Rain, Partially cloudy"
2/27/2000 0:00,32.1,24.1,27.7,36.4,13,22.3,278.3,8,51.9,78.49,"Rain, Partially cloudy"
2/28/2000 0:00,31.1,21.7,27,36.7,0.7,14.8,293.17,8.2,53.8,81.08,"Rain, Partially cloudy"
2/29/2000 0:00,31.1,25.7,27.6,35.6,0.7,18.4,299.35,9.2,56.8,78.28,"Rain, Partially cloudy"
3/1/2000 0:00,31.1,25.9,28.3,36.7,2,27.7,296,8.7,56,75.23,"Rain, Partially cloudy"
3/2/2000 0:00,30.1,22,26.4,35.2,4.4,33.5,293.93,8.8,54.8,82.83,"Rain, Partially cloudy"
3/3/2000 0:00,30.1,25,25.6,34.3,0,16.6,272.5,7.6,30,85.4,Partially cloudy
3/4/2000 0:00,30.1,23.1,26.1,35.2,0,18.4,292.73,9.8,45,86.15,Partially cloudy
3/5/2000 0:00,32.1,25,27,36.9,18,27.7,279.17,7.6,52.8,80.59,"Rain, Partially cloudy"
3/6/2000 0:00,32.1,24.1,26.9,36.9,0,24.1,262.14,7.9,46.7,81.7,Partially cloudy
3/7/2000 0:00,31.7,24.1,26.4,36.5,5,27.7,235,7.5,40,83.6,"Rain, Partially cloudy"
