Date,Actual Conditions,Predict Conditions
2015-12-08 00:00:00,Partially cloudy,Partially cloudy
2015-12-08 01:00:00,Partially cloudy,Partially cloudy
2015-12-08 07:00:00,Partially cloudy,"Rain, Partially cloudy"
2015-12-08 08:00:00,Partially cloudy,Partially cloudy
2015-12-08 09:00:00,Partially cloudy,Partially cloudy
2015-12-08 10:00:00,Partially cloudy,Partially cloudy
2015-12-08 11:00:00,Partially cloudy,Partially cloudy
2015-12-08 12:00:00,Partially cloudy,Partially cloudy
2015-12-08 13:00:00,Partially cloudy,Partially cloudy
2015-12-08 14:00:00,Partially cloudy,Partially cloudy
2015-12-08 15:00:00,Partially cloudy,Partially cloudy
2015-12-08 16:00:00,Partially cloudy,Partially cloudy
2015-12-08 17:00:00,Partially cloudy,Partially cloudy
2015-12-08 18:00:00,Partially cloudy,Partially cloudy
2015-12-08 19:00:00,Overcast,Partially cloudy
2015-12-08 20:00:00,Partially cloudy,Partially cloudy
2015-12-09 07:00:00,Partially cloudy,Partially cloudy
2015-12-09 08:00:00,Partially cloudy,Partially cloudy
2015-12-09 09:00:00,Partially cloudy,Partially cloudy
2015-12-09 10:00:00,Partially cloudy,Partially cloudy
2015-12-09 11:00:00,Partially cloudy,Partially cloudy
2015-12-09 12:00:00,Partially cloudy,Partially cloudy
2015-12-09 13:00:00,Partially cloudy,Partially cloudy
2015-12-09 14:00:00,Partially cloudy,Partially cloudy
2015-12-09 15:00:00,Partially cloudy,Partially cloudy
2015-12-09 16:00:00,Partially cloudy,Partially cloudy
2015-12-09 17:00:00,Partially cloudy,Partially cloudy
2015-12-09 18:00:00,Partially cloudy,Partially cloudy
2015-12-09 19:00:00,Partially cloudy,Partially cloudy
2015-12-09 20:00:00,Partially cloudy,Partially cloudy
2015-12-09 21:00:00,Partially cloudy,Partially cloudy
2015-12-09 22:00:00,Partially cloudy,Partially cloudy
2015-12-09 23:00:00,Partially cloudy,Partially cloudy
2015-12-10 00:00:00,Clear,Partially cloudy
2015-12-10 01:00:00,Partially cloudy,Clear
2015-12-10 02:00:00,Clear,Partially cloudy
2015-12-10 03:00:00,Partially cloudy,Partially cloudy
2015-12-10 04:00:00,Overcast,Partially cloudy
2015-12-10 05:00:00,Partially cloudy,"Rain, Partially cloudy"
2015-12-10 06:00:00,Partially cloudy,Partially cloudy
2015-12-10 07:00:00,Partially cloudy,Partially cloudy
2015-12-10 08:00:00,Partially cloudy,Partially cloudy
2015-12-10 10:00:00,Partially cloudy,Partially cloudy
2015-12-10 11:00:00,Partially cloudy,Partially cloudy
2015-12-10 12:00:00,Partially cloudy,Partially cloudy
2015-12-10 13:00:00,Partially cloudy,Partially cloudy
2015-12-10 14:00:00,Partially cloudy,Partially cloudy
2015-12-10 15:00:00,Partially cloudy,Partially cloudy
2015-12-10 16:00:00,Partially cloudy,Partially cloudy
2015-12-10 17:00:00,Partially cloudy,Partially cloudy
2015-12-10 18:00:00,Partially cloudy,Partially cloudy
2015-12-10 19:00:00,Partially cloudy,Partially cloudy
2015-12-10 20:00:00,Partially cloudy,Partially cloudy
2015-12-10 21:00:00,Partially cloudy,Partially cloudy
2015-12-10 22:00:00,Partially cloudy,Partially cloudy
2015-12-10 23:00:00,Partially cloudy,Partially cloudy
2015-12-11 07:00:00,Partially cloudy,Partially cloudy
2015-12-11 08:00:00,Partially cloudy,Partially cloudy
2015-12-11 09:00:00,Partially cloudy,Partially cloudy
2015-12-11 10:00:00,Partially cloudy,Partially cloudy
2015-12-11 11:00:00,Partially cloudy,Partially cloudy
2015-12-11 12:00:00,Partially cloudy,Partially cloudy
2015-12-11 13:00:00,Partially cloudy,Partially cloudy
2015-12-11 14:00:00,Partially cloudy,Partially cloudy
2015-12-11 15:00:00,Partially cloudy,Partially cloudy
2015-12-11 16:00:00,Partially cloudy,Partially cloudy
2015-12-11 18:00:00,Partially cloudy,Partially cloudy
2015-12-11 19:00:00,Partially cloudy,Partially cloudy
2015-12-11 20:00:00,Partially cloudy,Partially cloudy
2015-12-11 21:00:00,Partially cloudy,Partially cloudy
2015-12-11 23:00:00,Partially cloudy,Partially cloudy
2015-12-12 00:00:00,Partially cloudy,Partially cloudy
2015-12-12 01:00:00,Partially cloudy,Partially cloudy
2015-12-12 02:00:00,Partially cloudy,Partially cloudy
2015-12-12 07:00:00,Partially cloudy,Partially cloudy
2015-12-12 08:00:00,Partially cloudy,Partially cloudy
2015-12-12 10:00:00,Partially cloudy,Partially cloudy
2015-12-12 11:00:00,Partially cloudy,Partially cloudy
2015-12-12 12:00:00,Partially cloudy,Partially cloudy
2015-12-12 13:00:00,Partially cloudy,Partially cloudy
2015-12-12 14:00:00,Partially cloudy,Partially cloudy
2015-12-12 15:00:00,Partially cloudy,Partially cloudy
2015-12-12 16:00:00,Partially cloudy,Partially cloudy
2015-12-12 17:00:00,Partially cloudy,Partially cloudy
2015-12-12 18:00:00,Partially cloudy,Partially cloudy
2015-12-12 19:00:00,Overcast,Partially cloudy
2015-12-12 20:00:00,Partially cloudy,Overcast
2015-12-12 21:00:00,Partially cloudy,Partially cloudy
2015-12-12 22:00:00,Overcast,Partially cloudy
2015-12-12 23:00:00,Partially cloudy,Partially cloudy
2015-12-13 00:00:00,Partially cloudy,Partially cloudy
2015-12-13 07:00:00,Partially cloudy,Partially cloudy
2015-12-13 09:00:00,Partially cloudy,Partially cloudy
2015-12-13 10:00:00,Partially cloudy,Partially cloudy
2015-12-13 11:00:00,Partially cloudy,Partially cloudy
2015-12-13 12:00:00,Partially cloudy,Partially cloudy
2015-12-13 13:00:00,Partially cloudy,Partially cloudy
2015-12-13 14:00:00,Partially cloudy,Partially cloudy
2015-12-13 15:00:00,Partially cloudy,Partially cloudy
2015-12-13 16:00:00,Partially cloudy,Partially cloudy
2015-12-13 17:00:00,Partially cloudy,Partially cloudy
2015-12-13 18:00:00,Partially cloudy,Partially cloudy
2015-12-13 19:00:00,Partially cloudy,Partially cloudy
2015-12-13 20:00:00,Partially cloudy,Partially cloudy
2015-12-13 21:00:00,Partially cloudy,Partially cloudy
2015-12-13 22:00:00,Partially cloudy,Partially cloudy
2015-12-13 23:00:00,Partially cloudy,Partially cloudy
2015-12-14 00:00:00,Partially cloudy,Partially cloudy
2015-12-14 02:00:00,Partially cloudy,Partially cloudy
2015-12-14 07:00:00,Partially cloudy,Partially cloudy
2015-12-14 08:00:00,Partially cloudy,Partially cloudy
2015-12-14 10:00:00,Partially cloudy,Partially cloudy
2015-12-14 11:00:00,Partially cloudy,Partially cloudy
2015-12-14 12:00:00,Partially cloudy,Partially cloudy
2015-12-14 13:00:00,Overcast,Partially cloudy
2015-12-15 08:00:00,Partially cloudy,"Rain, Partially cloudy"
2015-12-15 09:00:00,Partially cloudy,Partially cloudy
2015-12-15 10:00:00,Partially cloudy,Partially cloudy
2015-12-15 11:00:00,Partially cloudy,Partially cloudy
2015-12-15 12:00:00,Partially cloudy,Partially cloudy
2015-12-15 13:00:00,Partially cloudy,Partially cloudy
2015-12-15 14:00:00,Partially cloudy,Partially cloudy
2015-12-15 15:00:00,Partially cloudy,Partially cloudy
2015-12-15 16:00:00,Partially cloudy,Partially cloudy
2015-12-15 17:00:00,Partially cloudy,Partially cloudy
2015-12-15 18:00:00,Partially cloudy,Partially cloudy
2015-12-15 19:00:00,Partially cloudy,Partially cloudy
2015-12-15 20:00:00,Partially cloudy,Partially cloudy
2015-12-15 21:00:00,Partially cloudy,Partially cloudy
2015-12-15 22:00:00,Partially cloudy,Partially cloudy
2015-12-15 23:00:00,Partially cloudy,Partially cloudy
2015-12-16 08:00:00,Partially cloudy,Partially cloudy
2015-12-16 12:00:00,Partially cloudy,Partially cloudy
2015-12-16 13:00:00,Partially cloudy,Partially cloudy
2015-12-16 14:00:00,Partially cloudy,Partially cloudy
2015-12-16 15:00:00,Partially cloudy,Partially cloudy
2015-12-16 16:00:00,Partially cloudy,Partially cloudy
