Date,Conditions
2010-12-01 13:00:00,Partially cloudy
2010-12-01 15:00:00,Partially cloudy
2010-12-01 16:00:00,Partially cloudy
2010-12-02 08:00:00,Clear
2010-12-02 09:00:00,Partially cloudy
2010-12-02 10:00:00,Partially cloudy
2010-12-02 11:00:00,Partially cloudy
2010-12-02 12:00:00,Partially cloudy
2010-12-02 13:00:00,Overcast
2010-12-02 14:00:00,Partially cloudy
2010-12-02 15:00:00,Partially cloudy
2010-12-02 16:00:00,"Rain, Overcast"
2010-12-02 18:00:00,Partially cloudy
2010-12-02 22:00:00,Partially cloudy
2010-12-03 11:00:00,Partially cloudy
2010-12-03 12:00:00,Partially cloudy
2010-12-03 13:00:00,Partially cloudy
2010-12-03 14:00:00,Partially cloudy
2010-12-03 15:00:00,Partially cloudy
2010-12-04 08:00:00,Partially cloudy
2010-12-04 10:00:00,Partially cloudy
2010-12-04 11:00:00,Partially cloudy
2010-12-04 12:00:00,Partially cloudy
2010-12-04 13:00:00,Partially cloudy
2010-12-04 14:00:00,Partially cloudy
2010-12-04 15:00:00,Partially cloudy
2010-12-04 16:00:00,Partially cloudy
2010-12-04 17:00:00,Partially cloudy
2010-12-05 07:00:00,Partially cloudy
2010-12-05 09:00:00,Partially cloudy
2010-12-05 10:00:00,Partially cloudy
2010-12-05 12:00:00,Partially cloudy
2010-12-05 13:00:00,Partially cloudy
2010-12-05 15:00:00,Partially cloudy
2010-12-05 16:00:00,"Rain, Partially cloudy"
2010-12-06 07:00:00,Clear
2010-12-06 09:00:00,Partially cloudy
2010-12-06 10:00:00,Partially cloudy
2010-12-06 11:00:00,Partially cloudy
2010-12-06 12:00:00,Partially cloudy
2010-12-06 13:00:00,Partially cloudy
2010-12-07 11:00:00,Partially cloudy
2010-12-07 12:00:00,Partially cloudy
2010-12-07 13:00:00,Partially cloudy
2010-12-07 14:00:00,Partially cloudy
2010-12-07 15:00:00,Partially cloudy
2010-12-07 16:00:00,Partially cloudy
2010-12-07 19:00:00,Partially cloudy
2010-12-08 08:00:00,Partially cloudy
2010-12-08 09:00:00,Partially cloudy
2010-12-08 10:00:00,Partially cloudy
2010-12-08 11:00:00,Partially cloudy
2010-12-08 13:00:00,Partially cloudy
2010-12-08 14:00:00,Partially cloudy
2010-12-08 15:00:00,Partially cloudy
2010-12-08 16:00:00,Partially cloudy
2010-12-08 17:00:00,Partially cloudy
2010-12-08 18:00:00,Partially cloudy
2010-12-09 08:00:00,Partially cloudy
2010-12-09 09:00:00,Partially cloudy
2010-12-09 10:00:00,Partially cloudy
2010-12-09 11:00:00,Partially cloudy
2010-12-09 12:00:00,Partially cloudy
2010-12-09 13:00:00,Partially cloudy
2010-12-10 10:00:00,Overcast
2010-12-10 12:00:00,Partially cloudy
2010-12-10 13:00:00,"Rain, Partially cloudy"
2010-12-10 14:00:00,Partially cloudy
2010-12-10 15:00:00,Partially cloudy
2010-12-10 16:00:00,Partially cloudy
2010-12-10 17:00:00,Partially cloudy
2010-12-10 18:00:00,Partially cloudy
2010-12-11 10:00:00,Partially cloudy
2010-12-11 11:00:00,Partially cloudy
2010-12-11 12:00:00,Partially cloudy
2010-12-11 13:00:00,Partially cloudy
