Date,CloudCover
2013-12-01 10:00:00,38.8447105884552
2013-12-01 11:00:00,35.534077882766724
2013-12-01 12:00:00,32.42022395133972
2013-12-01 13:00:00,32.72436261177063
2013-12-01 14:00:00,30.996286869049072
2013-12-01 15:00:00,29.523193836212158
2013-12-01 16:00:00,30.09886145591736
2013-12-01 17:00:00,32.076236605644226
2013-12-01 21:00:00,34.78706181049347
2013-12-01 22:00:00,30.674833059310913
2013-12-01 23:00:00,36.34510040283203
2013-12-02 01:00:00,32.4482262134552
2013-12-02 10:00:00,39.694833755493164
2013-12-02 11:00:00,33.632802963256836
2013-12-02 12:00:00,31.024470925331116
2013-12-02 13:00:00,30.307728052139282
2013-12-02 15:00:00,31.02690577507019
2013-12-02 16:00:00,30.22635281085968
2013-12-02 19:00:00,31.97152316570282
2013-12-03 07:00:00,54.2446494102478
2013-12-03 08:00:00,32.60608613491058
2013-12-03 10:00:00,39.333564043045044
2013-12-03 11:00:00,35.348206758499146
2013-12-03 12:00:00,37.30200529098511
2013-12-03 13:00:00,32.71337449550629
2013-12-03 14:00:00,32.38595128059387
2013-12-03 15:00:00,32.258421182632446
2013-12-03 16:00:00,30.3229957818985
2013-12-03 17:00:00,32.4120819568634
2013-12-03 18:00:00,33.341795206069946
2013-12-03 20:00:00,33.07035565376282
2013-12-03 21:00:00,35.803115367889404
2013-12-03 22:00:00,34.96166467666626
2013-12-04 00:00:00,34.25735831260681
2013-12-04 01:00:00,32.492172718048096
2013-12-04 09:00:00,33.91820192337036
2013-12-04 10:00:00,30.763322114944458
2013-12-04 12:00:00,31.623977422714233
2013-12-04 13:00:00,30.848991870880127
2013-12-04 14:00:00,32.784295082092285
2013-12-04 15:00:00,29.95837926864624
2013-12-04 16:00:00,30.08231818675995
2013-12-04 17:00:00,36.54164969921112
2013-12-04 18:00:00,36.04438304901123
2013-12-04 19:00:00,37.546926736831665
2013-12-04 20:00:00,33.83044898509979
2013-12-05 07:00:00,33.28333497047424
2013-12-05 08:00:00,38.644516468048096
2013-12-05 10:00:00,35.37821173667908
2013-12-05 11:00:00,38.87839913368225
2013-12-05 12:00:00,34.96050238609314
2013-12-05 13:00:00,31.468752026557922
2013-12-06 08:00:00,35.397231578826904
2013-12-06 09:00:00,18.020670115947723
2013-12-06 10:00:00,32.12381303310394
2013-12-06 11:00:00,31.818348169326782
2013-12-06 12:00:00,30.594295263290405
2013-12-06 13:00:00,30.855420231819153
2013-12-06 14:00:00,33.555859327316284
2013-12-06 16:00:00,30.70700764656067
2013-12-06 17:00:00,33.720678091049194
2013-12-06 18:00:00,32.53679871559143
2013-12-06 19:00:00,31.449687480926514
2013-12-06 20:00:00,35.09089648723602
2013-12-06 22:00:00,31.982094049453735
2013-12-06 23:00:00,36.00981831550598
2013-12-07 07:00:00,37.02174127101898
2013-12-07 08:00:00,17.88218319416046
2013-12-07 09:00:00,31.820684671401978
2013-12-07 10:00:00,31.44945502281189
2013-12-07 11:00:00,31.14273250102997
2013-12-07 12:00:00,31.57210350036621
2013-12-07 13:00:00,31.328004598617554
2013-12-07 14:00:00,30.89548349380493
2013-12-07 15:00:00,33.59193801879883
2013-12-07 16:00:00,33.55862498283386
2013-12-07 18:00:00,35.28725504875183
2013-12-08 08:00:00,29.689764976501465
2013-12-08 10:00:00,34.553539752960205
2013-12-08 13:00:00,31.526818871498108
2013-12-08 14:00:00,30.916494131088257
2013-12-08 15:00:00,35.919398069381714
2013-12-08 16:00:00,33.55862498283386
2013-12-08 17:00:00,38.29293251037598
2013-12-08 18:00:00,42.51692295074463
2013-12-08 19:00:00,35.665348172187805
2013-12-08 20:00:00,34.52721834182739
2013-12-09 10:00:00,32.90363252162933
2013-12-09 13:00:00,40.21148085594177
2013-12-09 14:00:00,34.071409702301025
2013-12-09 15:00:00,31.26879632472992
2013-12-09 16:00:00,30.691927671432495
2013-12-10 08:00:00,37.36037611961365
2013-12-10 09:00:00,32.22328424453735
2013-12-10 10:00:00,30.210790038108826
2013-12-10 11:00:00,30.959686636924744
2013-12-10 12:00:00,33.0709844827652
2013-12-10 13:00:00,31.19112253189087
2013-12-10 14:00:00,30.87390959262848
2013-12-10 15:00:00,30.81059157848358
2013-12-10 16:00:00,31.269019842147827
2013-12-10 17:00:00,31.404298543930054
2013-12-10 18:00:00,34.539031982421875
2013-12-10 19:00:00,35.38948893547058
2013-12-10 20:00:00,37.761759757995605
2013-12-10 21:00:00,37.26387023925781
2013-12-11 07:00:00,37.5165730714798
2013-12-11 08:00:00,37.83961236476898
2013-12-11 10:00:00,33.823513984680176
2013-12-11 11:00:00,34.13719832897186
2013-12-11 12:00:00,31.468752026557922
2013-12-11 13:00:00,40.16242027282715
2013-12-11 14:00:00,37.22488880157471
2013-12-11 15:00:00,36.54969334602356
2013-12-11 16:00:00,34.53077673912048
2013-12-11 17:00:00,44.14181113243103
2013-12-11 18:00:00,39.54320549964905
2013-12-11 19:00:00,34.5300555229187
2013-12-12 09:00:00,34.137558937072754
2013-12-12 10:00:00,33.505332469940186
2013-12-12 11:00:00,43.10470223426819
2013-12-12 13:00:00,33.33590924739838
2013-12-12 14:00:00,33.460599184036255
2013-12-13 09:00:00,33.892253041267395
2013-12-13 10:00:00,30.27329444885254
2013-12-13 11:00:00,33.09545814990997
2013-12-13 13:00:00,31.235674023628235
2013-12-13 14:00:00,30.98134994506836
2013-12-13 15:00:00,30.848991870880127
2013-12-13 16:00:00,31.130826473236084
2013-12-13 17:00:00,34.05095338821411
2013-12-14 08:00:00,33.82658064365387
