Date,HeatIndex
2013-12-01 10:00:00,33.317900323867796
2013-12-01 11:00:00,32.229200172424314
2013-12-01 12:00:00,31.51707258224487
2013-12-01 13:00:00,33.396980667114256
2013-12-01 14:00:00,33.919801807403566
2013-12-01 15:00:00,34.560263824462886
2013-12-01 16:00:00,35.010787105560304
2013-12-01 17:00:00,33.64853568077087
2013-12-01 21:00:00,30.247319746017457
2013-12-01 22:00:00,31.973149442672728
2013-12-01 23:00:00,31.56350507736206
2013-12-02 01:00:00,31.360447621345518
2013-12-02 10:00:00,31.24289104938507
2013-12-02 11:00:00,34.704822254180904
2013-12-02 12:00:00,36.326889753341675
2013-12-02 13:00:00,34.64807457923889
2013-12-02 15:00:00,35.854388856887816
2013-12-02 16:00:00,34.5223906993866
2013-12-02 19:00:00,33.49228563308716
2013-12-03 07:00:00,31.113406562805174
2013-12-03 08:00:00,32.00858461856842
2013-12-03 10:00:00,33.804780054092404
2013-12-03 11:00:00,35.21196513175964
2013-12-03 12:00:00,36.08526082038879
2013-12-03 13:00:00,37.07128987312316
2013-12-03 14:00:00,35.53821663856506
2013-12-03 15:00:00,36.73802971839905
2013-12-03 16:00:00,35.1564998626709
2013-12-03 17:00:00,34.19539422988891
2013-12-03 18:00:00,33.39646024703979
2013-12-03 20:00:00,33.7840491771698
2013-12-03 21:00:00,32.28119029998779
2013-12-03 22:00:00,30.810235118865965
2013-12-04 00:00:00,31.16280837059021
2013-12-04 01:00:00,31.321209812164305
2013-12-04 09:00:00,31.448234462738036
2013-12-04 10:00:00,35.437718820571895
2013-12-04 12:00:00,34.79372248649597
2013-12-04 13:00:00,36.130191230773924
2013-12-04 14:00:00,35.37142767906189
2013-12-04 15:00:00,34.23599672317505
2013-12-04 16:00:00,34.33649616241455
2013-12-04 17:00:00,33.273326587677
2013-12-04 18:00:00,32.51565818786621
2013-12-04 19:00:00,32.477539443969725
2013-12-04 20:00:00,32.116831588745114
2013-12-05 07:00:00,31.626192593574523
2013-12-05 08:00:00,32.730859184265135
2013-12-05 10:00:00,32.03922982215881
2013-12-05 11:00:00,31.65722851753235
2013-12-05 12:00:00,33.36847105026245
2013-12-05 13:00:00,36.103361225128175
2013-12-06 08:00:00,31.962652683258057
2013-12-06 09:00:00,31.796814584732054
2013-12-06 10:00:00,33.4045729637146
2013-12-06 11:00:00,34.45010499954223
2013-12-06 12:00:00,34.259892272949216
2013-12-06 13:00:00,35.55834603309631
2013-12-06 14:00:00,35.22318253517151
2013-12-06 16:00:00,35.34281673431396
2013-12-06 17:00:00,34.859127616882326
2013-12-06 18:00:00,33.44839363098144
2013-12-06 19:00:00,31.253143000602723
2013-12-06 20:00:00,31.542700433731078
2013-12-06 22:00:00,31.343099880218507
2013-12-06 23:00:00,31.56728744506836
2013-12-07 07:00:00,30.833386516571043
2013-12-07 08:00:00,31.711203861236573
2013-12-07 09:00:00,34.44591488838196
2013-12-07 10:00:00,35.707795763015746
2013-12-07 11:00:00,35.33571081161499
2013-12-07 12:00:00,35.74111075401306
2013-12-07 13:00:00,35.595845460891724
2013-12-07 14:00:00,33.97198567390442
2013-12-07 15:00:00,32.603832912445064
2013-12-07 16:00:00,33.565310621261595
2013-12-07 18:00:00,30.454067564010618
2013-12-08 08:00:00,30.66498522758484
2013-12-08 10:00:00,33.08458757400513
2013-12-08 13:00:00,35.62405595779419
2013-12-08 14:00:00,34.92017645835876
2013-12-08 15:00:00,31.313176536560057
2013-12-08 16:00:00,33.565310621261595
2013-12-08 17:00:00,31.89488093852997
2013-12-08 18:00:00,33.41563229560852
2013-12-08 19:00:00,32.5403311252594
2013-12-08 20:00:00,32.50555214881897
2013-12-09 10:00:00,30.75909695625305
2013-12-09 13:00:00,30.998379135131835
2013-12-09 14:00:00,34.29664916992187
2013-12-09 15:00:00,35.15636448860168
2013-12-09 16:00:00,34.34944505691528
2013-12-10 08:00:00,31.26750319004059
2013-12-10 09:00:00,32.11068909168243
2013-12-10 10:00:00,32.53320047855377
2013-12-10 11:00:00,34.860222768783565
2013-12-10 12:00:00,34.69401664733886
2013-12-10 13:00:00,33.76479687690735
2013-12-10 14:00:00,35.14199295043945
2013-12-10 15:00:00,35.514894199371334
2013-12-10 16:00:00,36.89312787055969
2013-12-10 17:00:00,34.07977828979492
2013-12-10 18:00:00,33.209277629852295
2013-12-10 19:00:00,33.20662932395935
2013-12-10 20:00:00,33.368921756744385
2013-12-10 21:00:00,33.159335136413574
2013-12-11 07:00:00,31.940201663970946
2013-12-11 08:00:00,31.319659900665282
2013-12-11 10:00:00,34.56410617828369
2013-12-11 11:00:00,35.068213272094724
2013-12-11 12:00:00,36.103361225128175
2013-12-11 13:00:00,32.166877031326294
2013-12-11 14:00:00,31.521363615989685
2013-12-11 15:00:00,33.507445096969604
2013-12-11 16:00:00,32.593534755706784
2013-12-11 17:00:00,33.26080408096313
2013-12-11 18:00:00,33.11410479545593
2013-12-11 19:00:00,31.97527003288269
2013-12-12 09:00:00,30.876158237457275
2013-12-12 10:00:00,31.18768558502197
2013-12-12 11:00:00,30.944706153869628
2013-12-12 13:00:00,32.236969184875484
2013-12-12 14:00:00,32.61643567085266
2013-12-13 09:00:00,30.33292520046234
2013-12-13 10:00:00,31.320958113670347
2013-12-13 11:00:00,35.180402708053585
2013-12-13 13:00:00,36.165075588226316
2013-12-13 14:00:00,35.32156462669372
2013-12-13 15:00:00,36.130191230773924
2013-12-13 16:00:00,33.622988080978395
2013-12-13 17:00:00,32.43108546733856
2013-12-14 08:00:00,32.49061236381531
