Date,Conditions
2013-12-01 10:00:00,Partially cloudy
2013-12-01 11:00:00,Partially cloudy
2013-12-01 12:00:00,Partially cloudy
2013-12-01 13:00:00,Partially cloudy
2013-12-01 14:00:00,Partially cloudy
2013-12-01 15:00:00,Partially cloudy
2013-12-01 16:00:00,Partially cloudy
2013-12-01 17:00:00,Partially cloudy
2013-12-01 21:00:00,Partially cloudy
2013-12-01 22:00:00,Partially cloudy
2013-12-01 23:00:00,Partially cloudy
2013-12-02 01:00:00,Partially cloudy
2013-12-02 10:00:00,Partially cloudy
2013-12-02 11:00:00,Partially cloudy
2013-12-02 12:00:00,Partially cloudy
2013-12-02 13:00:00,Partially cloudy
2013-12-02 15:00:00,Partially cloudy
2013-12-02 16:00:00,Partially cloudy
2013-12-02 19:00:00,Overcast
2013-12-03 07:00:00,Partially cloudy
2013-12-03 08:00:00,Partially cloudy
2013-12-03 10:00:00,Partially cloudy
2013-12-03 11:00:00,Partially cloudy
2013-12-03 12:00:00,Partially cloudy
2013-12-03 13:00:00,Partially cloudy
2013-12-03 14:00:00,Partially cloudy
2013-12-03 15:00:00,Partially cloudy
2013-12-03 16:00:00,Partially cloudy
2013-12-03 17:00:00,Partially cloudy
2013-12-03 18:00:00,Partially cloudy
2013-12-03 20:00:00,Overcast
2013-12-03 21:00:00,Partially cloudy
2013-12-03 22:00:00,Partially cloudy
2013-12-04 00:00:00,Partially cloudy
2013-12-04 01:00:00,Partially cloudy
2013-12-04 09:00:00,Partially cloudy
2013-12-04 10:00:00,Partially cloudy
2013-12-04 12:00:00,Partially cloudy
2013-12-04 13:00:00,Partially cloudy
2013-12-04 14:00:00,Partially cloudy
2013-12-04 15:00:00,Partially cloudy
2013-12-04 16:00:00,Partially cloudy
2013-12-04 17:00:00,Partially cloudy
2013-12-04 18:00:00,Partially cloudy
2013-12-04 19:00:00,Partially cloudy
2013-12-04 20:00:00,Partially cloudy
2013-12-05 07:00:00,Partially cloudy
2013-12-05 08:00:00,Partially cloudy
2013-12-05 10:00:00,Partially cloudy
2013-12-05 11:00:00,Partially cloudy
2013-12-05 12:00:00,Partially cloudy
2013-12-05 13:00:00,Partially cloudy
2013-12-06 08:00:00,Clear
2013-12-06 09:00:00,Partially cloudy
2013-12-06 10:00:00,Partially cloudy
2013-12-06 11:00:00,Partially cloudy
2013-12-06 12:00:00,Partially cloudy
2013-12-06 13:00:00,Partially cloudy
2013-12-06 14:00:00,Partially cloudy
2013-12-06 16:00:00,Partially cloudy
2013-12-06 17:00:00,Partially cloudy
2013-12-06 18:00:00,Partially cloudy
2013-12-06 19:00:00,Partially cloudy
2013-12-06 20:00:00,Partially cloudy
2013-12-06 22:00:00,Partially cloudy
2013-12-06 23:00:00,Overcast
2013-12-07 07:00:00,Clear
2013-12-07 08:00:00,Partially cloudy
2013-12-07 09:00:00,Partially cloudy
2013-12-07 10:00:00,Partially cloudy
2013-12-07 11:00:00,Partially cloudy
2013-12-07 12:00:00,Partially cloudy
2013-12-07 13:00:00,Partially cloudy
2013-12-07 14:00:00,Partially cloudy
